semantic_field,concepticon_id1,concepticon_gloss1,concepticon_id2,concepticon_gloss2,evidence
Agriculture and vegetation,1921,plough,1950,beech,18
Agriculture and vegetation,1921,plough,60,oat,8
Agriculture and vegetation,199,famine,116,larch,22
Agriculture and vegetation,199,famine,1541,cultivate,5
Agriculture and vegetation,199,famine,1794,furrow,7
Agriculture and vegetation,199,famine,1915,fir,15
Agriculture and vegetation,199,famine,1950,beech,22
Agriculture and vegetation,199,famine,23,rye,16
Agriculture and vegetation,199,famine,286,needle tree,11
Agriculture and vegetation,199,famine,33,nettle,7
Agriculture and vegetation,199,famine,340,lasso,15
Agriculture and vegetation,199,famine,60,oat,12
Agriculture and vegetation,199,famine,932,barley,7
Agriculture and vegetation,2002,ditch,1077,wheat,2
Agriculture and vegetation,2002,ditch,116,larch,22
Agriculture and vegetation,2002,ditch,1176,spade,2
Agriculture and vegetation,2002,ditch,1740,pine,8
Agriculture and vegetation,2002,ditch,1794,furrow,6
Agriculture and vegetation,2002,ditch,1855,birch,18
Agriculture and vegetation,2002,ditch,190,mow,1
Agriculture and vegetation,2002,ditch,1915,fir,15
Agriculture and vegetation,2002,ditch,1921,plough,3
Agriculture and vegetation,2002,ditch,1950,beech,21
Agriculture and vegetation,2002,ditch,2132,sickle or scythe,4
Agriculture and vegetation,2002,ditch,223,threshing-floor,8
Agriculture and vegetation,2002,ditch,23,rye,16
Agriculture and vegetation,2002,ditch,285,thresh,3
Agriculture and vegetation,2002,ditch,287,cone,11
Agriculture and vegetation,2002,ditch,33,nettle,7
Agriculture and vegetation,2002,ditch,337,pitchfork,6
Agriculture and vegetation,2002,ditch,340,lasso,15
Agriculture and vegetation,2002,ditch,342,hay,3
Agriculture and vegetation,2002,ditch,346,banyan,19
Agriculture and vegetation,2002,ditch,3541,harvest or harvest season,2
Agriculture and vegetation,2002,ditch,60,oat,11
Agriculture and vegetation,2002,ditch,644,oak,13
Agriculture and vegetation,2002,ditch,653,plant,2
Agriculture and vegetation,2002,ditch,931,millet,8
Agriculture and vegetation,2002,ditch,932,barley,6
Agriculture and vegetation,2002,ditch,968,acorn,17
Agriculture and vegetation,212,field,1077,wheat,6
Agriculture and vegetation,212,field,1124,pipe,4
Agriculture and vegetation,212,field,116,larch,24
Agriculture and vegetation,212,field,1176,spade,4
Agriculture and vegetation,212,field,140,paddy field,22
Agriculture and vegetation,212,field,1486,plant,1
Agriculture and vegetation,212,field,1541,cultivate,6
Agriculture and vegetation,212,field,1689,smoke,1
Agriculture and vegetation,212,field,1690,fence,1
Agriculture and vegetation,212,field,1740,pine,10
Agriculture and vegetation,212,field,1794,furrow,10
Agriculture and vegetation,212,field,1855,birch,20
Agriculture and vegetation,212,field,190,mow,3
