semantic_field,concepticon_id1,concepticon_gloss1,concepticon_id2,concepticon_gloss2,evidence
Basic actions and technology,680,break,288,forge,61
Basic actions and technology,680,break,289,mold,55
Basic actions and technology,680,break,3294,braid,10
Basic actions and technology,680,break,359,potter,68
Basic actions and technology,680,break,360,fan,21
Basic actions and technology,680,break,604,glass,24
Basic actions and technology,680,break,914,sculptor,91
Basic actions and technology,760,knot,1648,anvil,58
Basic actions and technology,760,knot,914,sculptor,78
Basic actions and technology,984,work,1361,tool,40
Basic actions and technology,984,work,1648,anvil,68
Basic actions and technology,984,work,234,paddle,62
Basic actions and technology,984,work,288,forge,58
Basic actions and technology,984,work,289,mold,52
Basic actions and technology,984,work,290,adze,71
Basic actions and technology,984,work,359,potter,65
Basic actions and technology,984,work,914,sculptor,88
Basic actions and technology,3072,misplace,1002,statue,64
Basic actions and technology,1453,wash,1449,rub,3
Basic actions and technology,1735,tear,155,chop,15
Basic actions and technology,680,break,155,chop,15
Basic actions and technology,230,sweep,1627,chain,27
Basic actions and technology,677,axe,1627,chain,27
Basic actions and technology,3072,misplace,1648,anvil,70
Basic actions and technology,1917,tie,1767,scrape,8
Basic actions and technology,2133,strike or beat,1767,scrape,8
Basic actions and technology,3072,misplace,211,cast,73
Basic actions and technology,230,sweep,2131,torch or lamp,8
Basic actions and technology,1453,wash,214,stretch,9
Basic actions and technology,1487,pour,290,adze,72
Basic actions and technology,3072,misplace,3217,tin or tinplate,61
Basic actions and technology,1735,tear,354,pound,20
Basic actions and technology,680,break,354,pound,20
Basic actions and technology,230,sweep,356,shears,6
Basic actions and technology,3072,misplace,359,potter,67
Basic actions and technology,2133,strike or beat,760,knot,13
Basic actions and technology,3072,misplace,760,knot,12
Basic actions and technology,3072,misplace,914,sculptor,90
Clothing and grooming,1161,thread,1021,towel,33
Clothing and grooming,1161,thread,1029,jewel,75
Clothing and grooming,1161,thread,1043,braid,19
Clothing and grooming,1161,thread,1151,veil,69
Clothing and grooming,1161,thread,1754,bracelet,23
Clothing and grooming,1161,thread,1821,brush,54
Clothing and grooming,1161,thread,2012,collar,30
Clothing and grooming,1161,thread,327,poncho,171
Clothing and grooming,1161,thread,328,grass-skirt,122
Clothing and grooming,1161,thread,68,tattoo,125
Clothing and grooming,121,spin,1787,loom,40
Clothing and grooming,133,weave,1787,loom,45
Clothing and grooming,1381,shoe,1151,veil,62
Clothing and grooming,1381,shoe,585,boot,62
Clothing and grooming,1381,shoe,875,shoemaker,50
Clothing and grooming,1382,needle,1021,towel,34
Clothing and grooming,1382,needle,1029,jewel,76
Clothing and grooming,1382,needle,1043,braid,20
Clothing and grooming,1382,needle,1151,veil,70
Clothing and grooming,1382,needle,1161,thread,1
Clothing and grooming,1382,needle,1171,mirror,7
Clothing and grooming,1382,needle,1374,ring,17
Clothing and grooming,1382,needle,1381,shoe,8
Clothing and grooming,1382,needle,151,razor,29
Clothing and grooming,1382,needle,1600,skirt,24
Clothing and grooming,1382,needle,1622,shirt,16
Clothing and grooming,1382,needle,1754,bracelet,24
Clothing and grooming,1382,needle,1821,brush,55
Clothing and grooming,1382,needle,1851,pocket,27
Clothing and grooming,1382,needle,1926,ointment,45
Clothing and grooming,1382,needle,1961,necklace,14
Clothing and grooming,1382,needle,2012,collar,31
Clothing and grooming,1382,needle,326,cloak,58
Clothing and grooming,1382,needle,327,poncho,172
Clothing and grooming,1382,needle,328,grass-skirt,123
Clothing and grooming,1382,needle,329,stocking,37
Clothing and grooming,1382,needle,585,boot,70
Clothing and grooming,1382,needle,603,coat,45
Clothing and grooming,1382,needle,64,pin,50
Clothing and grooming,1382,needle,68,tattoo,126
Clothing and grooming,1382,needle,809,trousers,7
Clothing and grooming,1382,needle,867,glove,55
Clothing and grooming,1382,needle,875,shoemaker,58
Clothing and grooming,1457,sew,328,grass-skirt,121
Clothing and grooming,1457,sew,585,boot,68
Clothing and grooming,1457,sew,917,ornament,52
Clothing and grooming,1475,comb,1821,brush,53
Clothing and grooming,1616,cloth,327,poncho,167
Clothing and grooming,1895,clothes,1021,towel,34
Clothing and grooming,1895,clothes,1029,jewel,76
Clothing and grooming,1895,clothes,1043,braid,20
Clothing and grooming,1895,clothes,1151,veil,70
Clothing and grooming,1895,clothes,1860,bead,40
Clothing and grooming,1895,clothes,325,felt,92
Clothing and grooming,1895,clothes,326,cloak,58
Clothing and grooming,1895,clothes,327,poncho,172
Clothing and grooming,1895,clothes,328,grass-skirt,123
Clothing and grooming,1895,clothes,3457,headband or headdress,40
Clothing and grooming,1895,clothes,474,dress,35
Clothing and grooming,1895,clothes,585,boot,70
Clothing and grooming,1895,clothes,603,coat,45
Clothing and grooming,1895,clothes,64,pin,50
Clothing and grooming,1895,clothes,68,tattoo,126
Clothing and grooming,1895,clothes,770,earring,19
Clothing and grooming,1895,clothes,881,tailor,46
Clothing and grooming,1895,clothes,917,ornament,54
Clothing and grooming,1895,clothes,964,wool,44
Clothing and grooming,2130,headgear,1821,brush,52
Clothing and grooming,629,leather,1029,jewel,68
Clothing and grooming,629,leather,328,grass-skirt,115
Clothing and grooming,629,leather,585,boot,62
Clothing and grooming,772,belt,1029,jewel,71
Clothing and grooming,772,belt,867,glove,50
Clothing and grooming,809,trousers,329,stocking,30
Clothing and grooming,1171,mirror,1021,towel,27
