lemma,zh,ko,id,ms,en,nl,de,da,no,sv,fi,lt,pl,ru,uk,mk,el,ro,it,fr,ca,es,pt
still,0.00019272259389427094,0.0002894981326543306,0.0018696205996154838,0.0011398561935232,0.001104818373467852,0.006129204809047949,0.005698834138219475,0.0007750971044507923,0.0006006173290380464,0.0004569052277927128,0.000686831306843865,0.004918143563132345,0.0004372605039746633,na,0.0001771588335651276,0.002234101017929506,0.001098520202003587,2.299532663677228e-08,0.0015424010246257692,0.0013811287919911282,0.001125793099692291,0.0005675871734488537,0.001938662163594738
someone,3.504174739343148e-05,na,0.00037684905828294575,0.00033238025207814353,0.0005339024588655054,0.0006510631257925955,0.0005595728989773533,0.0039068326029185795,na,na,0.0009112732548366518,0.00047037203558972235,0.0008020251343785389,na,0.0006572891049726901,0.0017695794394400918,0.0004208041096384709,0.000648606183116799,0.0004928711568672513,na,0.00037878168994907825,0.0005793161798026115,0.0006323241022344641
can,8.420123522650735e-07,1.5439900408230967e-06,0.005402036157490017,0.0031828876988229445,0.0038613368872424574,0.004404909260172505,0.004174437726303799,0.008893563126951465,0.004617873339019476,0.004788062064126752,0.0029500956186770877,na,0.0011560571924496721,0.0035914679281484974,0.001708309127936789,0.002337228826320717,0.0011347334457878027,0.001217142638884357,0.0011029756524603299,0.0012686618671765124,5.582332598099284e-06,0.001566256552304421,0.001607993125467681
also,0.007715078513020781,0.00044224286169290125,0.00349578232988318,0.0024893840388388725,0.0010368542602559902,0.007688567740204872,0.007991948825464012,0.003615656056227835,0.0030066148988176587,0.0029070148902324627,0.0040650186903042835,na,0.0035797617638276646,0.0005097320342986133,0.0011204952002462783,na,0.0005483793783346524,na,0.0043661432753114154,0.00217200821079451,0.0017073768482967079,0.001547052640308156,0.0013455778493344046
must,0.00025274404107156624,na,0.0016093530844930974,0.0006696955239503847,0.00040956445059862684,0.002714059962633409,0.002309865605017678,0.004937030087950405,na,0.001465602640465901,0.0003866331345915483,0.0013458076299176244,0.00045752180497544916,0.000696596873191412,0.00047789283795256253,0.0006042575266558598,0.0014774899849528532,0.0013953794156459788,0.0005471354986003573,0.0005727387626976246,na,0.0005340600231405491,0.0006163986542725675
le,2.343601047137788e-06,na,8.561619572429131e-05,5.868672187575568e-06,3.374330679371128e-05,9.723875467332808e-05,1.8050738676688818e-05,3.1527236300622017e-06,9.926605878701557e-05,3.7492114191885996e-06,3.957414700124703e-06,0.0,3.7951681632891914e-06,9.226754173203245e-08,6.310709744871774e-07,na,3.108432942851124e-07,8.853200755157328e-06,6.508526639070114e-06,4.286966786658867e-07,5.446178144487106e-07,0.003246054722816868,6.447549782144385e-06
just,0.0007543588663942795,0.0010013602552259651,na,0.0011625306087933783,0.0036412384997471132,0.0009418936757166613,na,0.0028483506830341964,na,na,na,na,na,na,0.0012658136346440983,na,na,na,na,0.0006686514003822194,na,na,na
don,1.7443689231091442e-05,na,7.308445981809379e-05,0.00014591653120926525,0.001960150428008959,3.268706782556029e-05,6.094482849376816e-05,4.2314055006334836e-05,2.2119436202711605e-05,2.1817219641448554e-05,2.619431634844446e-05,3.1899227132689834e-05,0.00010328570560521445,7.519804651160645e-06,1.078557665487176e-05,na,na,2.4719976134530202e-05,4.915335148892829e-05,4.852516635821941e-05,2.3690874928518912e-05,8.435650867735413e-05,1.667336373662538e-05
again,0.00010426919628882494,0.0011459990365502144,0.0034566921536695536,0.00026935871551838313,0.0007109680014189552,0.00042522711976425664,0.003640001686412798,0.0013799471328782256,0.001608137292762171,0.0012837060587934583,0.0004993252293855755,na,0.0004955755072578919,0.0009277962658864523,0.0007528676725632027,0.0004042520800789664,0.0009695979456988367,na,na,na,na,4.827909644395874e-05,0.00012917021233548062
slightly,3.901323898828174e-05,0.00013738754238252663,na,3.334472833849754e-07,6.0888436958806625e-05,na,0.0012335300374669183,0.0026130899418680548,0.003270826814686858,na,0.0007329383289056354,na,0.00017741390956881463,0.00044625196558697495,0.0004041149040261525,na,8.807226671411517e-06,na,5.2906734949496327e-05,4.062725447049019e-05,1.3615445361217766e-05,1.1739998862055541e-05,1.8091824688697144e-05
then,0.0025640398809607845,na,0.0015181860057481148,0.0004794305040509177,0.0013649543809881527,0.005579830096839129,0.004296369312997901,0.0001577938176846132,0.00010988474518494308,0.00105905251285112,0.002782439430825773,0.0013837469473949656,0.00048733223877418845,0.0015586294487083582,0.0012961624115080726,0.0012605253982362914,0.0006897353664108072,0.0018107669960126334,0.002670552296999803,0.0020686428462346465,0.0002571276856465975,0.0009796633320086627,0.0008360279900515338
stay,5.8688260952875625e-05,na,0.0004192541646377344,4.581565673709562e-05,0.00038846764900976274,1.3201357715355319e-05,0.0003177223515043194,2.0717898140408753e-05,1.889651221612019e-05,0.0001856258504776994,0.0003599991054986456,na,0.00017692421045097085,0.00016315208066766638,0.00013872087420999953,7.355111009719461e-05,0.00019412163728105267,0.00017492544972592676,0.00011148347470112735,0.0005983286567472191,2.0491245268632736e-05,4.936735476544142e-05,0.0017206189250621791
yet,na,0.0007241864716474903,na,na,0.00043189117546256185,0.002365847792352344,na,0.0007255768240043153,0.0001529022990270264,0.0004208489818039203,na,na,na,na,na,na,na,na,9.155859867109063e-05,0.00025769616887958243,na,na,na
