ID,Name,Description,Contributor,Citation,Source,Related,PDF,Tags,Year,Number_Of_Items,Gloss_Language_IDs,Target_Language,List_Suffix,Source_URL,Pages,Alias,Attributes
Gallatin-1836-180,"Gallatin, Albert 1836","This list was used in Gallatin’s groundbreaking ethnographic work on the native languages in North America, particularly in the areas west and north-west of the Rocky Mountains. The selection process for items on the list was centered around the idea of showing the differences between the different native languages. As such, the glosses were built from basic vocabulary as well as very general concepts, thought to exist in the majority of languages under investigation.","Gallatin, Albert",n.d.,Gallatin1836,,Gallatin1836,areal; basic; historical,1836,180,english,Native languages in North America,,,307-367,,
Hale-1846-179,"Hale, Horatio 1846",This list was used to collect basic vocabularies of the native tribes living west of the Rocky Mountains (up to the Pacific coast) in what was formerly known as Oregon Country. The items in the list are derived from [Albert Gallatin’s work](sources.bib#cldf:Gallatin1836) on basic vocabularies in this area.,"Hale, Horatio",n.d.,Hale1846,,Hale1846,areal; basic; historical,1846,179,english,Native languages in the north-western United States,,,570-629,,
Zalizniak-2020-2590,"Zalizniak, Anna A. and Smirnitskaya, Anna and Russo, Maksim and Mikhailova, Tatiana and Bobrik, Marina and Gruntov, Ilya and Orlova, Maria and Bibaeva, Maria and Voronov, Mikhail 2020","The list presents the 2020 version of the Database of Semantic Shifts, from which the major shifts were automatically extracted on 07/10/2020. It expands upon the earlier list taken from [Bulakh et al. (2013)](conceptlists.csv#cldf:Bulakh-2013-870). The aim of of the Database of Semantic Shifts is to collect and classify semantic shifts attested in the languages of the world. The original data contains some ambiguous glosses enclosed in < and > symbols, which we deliberately ignored here. Since node identifiers in the source database have changed recently, we have removed the links to the source database from this list and refer to [Zalizniak et al. (2024)](conceptlists.csv#cldf:Zalizniak-2024-4583) for a more current record.","Zalizniak, Anna A. and Smirnitskaya, Anna and Russo, Maksim and Mikhailova, Tatiana and Bobrik, Marina and Gruntov, Ilya and Orlova, Maria and Bibaeva, Maria and Voronov, Mikhail",n.d.,Zalizniak2020,Bulakh-2013-870 Zalizniak-2024-4583,,norms; ranked; relations,2020,2590,english,Global,,http://datsemshift.ru/,,DatSemShifts2.0,degree linked_concepts rank target_concepts weighted_degree
LSDO-2019-462,Language and Social Development Organization 2019,"This list was used as a questionnaire for an investigation of Chin dialects, carried out by the Language and Social Development Organization in 2019. Nathan Statezni was so kind to share the original data with us.",Language and Social Development Organization,n.d.,LSDO2019,,,areal; basic,2019,462,english,Kuki-chin languages,,,,,alternative_name
List-2020-1365,"List, Johann-Mattis 2020","This concept list was originally compiled to provide German elicitation glosses for the [Intercontinental Dictionary Series](conceptlists.csv#cldf:Key-2016-1310), but since some difficulties in the exact concepts were detected, the list was modified and now offers several elicitation glosses for one and the same elicitation item in the Intercontinental Dictionary Series, where this was assumed to be important by the author.","List, Johann-Mattis",n.d.,List2020,Key-2016-1310,,annotated,2020,1365,english,German,,https://calc.hypotheses.org/2545,,,german ids_key
Starostin-2017-401,"Starostin, George and Kassian, Alexei and Trofimov, Artem and Zhivlov, Mikhail 2017","This concept list, provided in the form of a database, was compiled to perform lexicostatistical analyses on certain Eurasian languages and proto-languages which might have a Nostratic ancestor. The words were chosen to represent basic meanings common to most languages. Furthermore, semantic links were provided which link several closely connected words within the list.","Starostin, George and Kassian, Alexei and Trofimov, Artem and Zhivlov, Mikhail",n.d.,Starostin2017,,,areal; basic,2017,401,english russian,Nostratic languages,,https://starling.rinet.ru/new400/,,,category semantic_links
Cowen-2020-16,"Cowen, Alan S. and Keltner, Dacher and Schroff, Florian and Jou, Brendan and Adam, Hartwig and Prasad, Gautam 2020","This list of 16 emotions emerged as a result of a machine-learning analysis of large-scaled video material from 144 countries in Arabic, English, French, German, Indonesian, Italian, Japanese, Korean, Mandarin, Polish, Portuguese, Russian, Spanish, Thai, Turkish, and Vietnamese languages. The purpose of the study was to find out what facial expressions are associated with various naturalistic social contexts and determine culturally universal patterns of context–expression association.","Cowen, Alan S. and Keltner, Dacher and Schroff, Florian and Jou, Brendan and Adam, Hartwig and Prasad, Gautam",n.d.,Cowen2020,,,specific,2020,16,english,Global,,https://doi.org/10.1038/s41586-020-3037-7,,,
Gerardi-2021-414,"Gerardi, Fabrício and Stanislav Reichert and Coelho Aragon, Carolina 2021","This list was compiled for a large lexical database of Tupían languages and beyond. The study we provide as reference is not identical with the concept list which we present here, as it belongs to a later version that was consistently mapped to the Concepticon. As a result, the number of items differs from the number mentioned in the study presenting the database.","Gerardi, Fabrício and Stanislav Reichert and Coelho Aragon, Carolina",n.d.,Gerardi2021a,,,basic,2021,414,english portuguese,Tupían languages,,https://tuled.org/parameters,1-19,,semantic_field
Anonby-2018-1500,"Anonby, Erik and Asadi, Ashraf and Nikravan, Pegah 2018","This comprehensive list is used as a field work questionnaire for ALI, the Atlas of the Languages of Iran project. It includes basic as well as areally specific terms and groups them into 12 semantic categories plus multiple subcategories. Many concepts are based on [Snider-2004-1700](conceptlists.csv#cldf:Snider-2004-1700).","Anonby, Erik and Asadi, Ashraf and Nikravan, Pegah",n.d.,Anonby2018,Snider-2004-1700,,areal; questionnaire,2018,1500,english persian,Native languages of Iran,,https://carleton.ca/iran/questionnaires/,,,main_semantic_category persian_phonological semantic_category
Duong-2020-100,"Duong, Thu Hang and Nguyen, Thu Quynh and Nguyen, Van Loi 2020","The current list was used to investigate some basic characteristics of the La Chí language spoken in Bản Díu, comparing it with La Chí varieties in Bản Máy and Bản Phùng The concepts are claimed to be generally based on the 100-item list of Swadesh (presumably, the [one that dates back to 1955](conceptlists.csv#cldf:Swadesh-1955-100)). The data for the analysis come from the materials collected by Nguyễn Văn Lợi, Nguyễn Thu Quỳnh and Dương Thu Hằng during their field trips in the respective regions.","Duong, Thu Hang and Nguyen, Thu Quynh and Nguyen, Van Loi",n.d. In.,Duong2020,Swadesh-1955-100,Duong2020,basic; questionnaire,2020,100,english,La Chí languages in Vietnam,,https://evols.library.manoa.hawaii.edu/bitstream/10524/52466/1/JSEALS_Special_Publication_6_Anthropologyoflanguage.pdf,136-138,,vietnamese
