concepticon_id,name,description,pwn_synset,wordnet_gloss,wordnet_definition
1069,glue,Substance used for sticking objects together.,n14702875,glue//gum//mucilage,cement consisting of a sticky substance that is used as an adhesive
1001,blacksmith,A craftsman expert in iron and other metals work.,n09859152,blacksmith,a smith who forges and shapes iron with a hammer and anvil
288,forge,To create and mold by hammering.,v01675245,forge//hammer,"create by hammering; ""hammer the silver into a bowl""; ""forge a pair of tongues"""
1648,anvil,A heavy iron block used by a blacksmith as a surface upon which metal can be struck and shaped.,n02725872,anvil,a heavy block of iron or steel on which hot metals are shaped by hammering
211,cast,"To pour [a hardenable liquid material, like metal, plaster, glass, concrete etc.] into a mold in order to produce a solid object of the shape of the mold.",v01662771,cast//mold//mould,"form by pouring (e.g., wax or hot metal) into a cast or mold; ""cast a bronze sculpture"""
1369,gold,"A heavy yellow elemental metal of great value, with atomic number 79 and symbol Au.",n14638799,gold//Au//atomic number 79,a soft yellow malleable ductile (trivalent and univalent) metallic element; occurs mainly as nuggets in rocks and alluvial deposits; does not react with most chemicals but is attacked by chlorine and aqua regia
759,silver,A very ductile malleable brilliant greyish-white element with symbol Ar and atomic number 47 having the highest electrical and thermal conductivity of any metal.,n14654954,silver//Ag//atomic number 47,a soft white precious univalent metallic element having the highest electrical and thermal conductivity of any metal; occurs in argentite and in free form; used in coins and jewelry and tableware and photography
621,iron,"A malleable ductile silvery-white ferromagnetic metallic element with symbol Fe and atomic number 26, occurring principally in haematite and magnetite. It is widely used for structural and engineering purposes.",n14642417,iron//Fe//atomic number 26,a heavy ductile magnetic metallic element; is silver-white in pure form but readily rusts; used in construction and tools and armament; plays a role in the transport of oxygen by the blood
627,lead (chemical element),"A heavy toxic bluish-white metallic element with symbol Pb and atomic number 82 that is highly malleable; occurs principally as galena and is used in alloys, accumulators, cable sheaths, paints, and as a radiation shield.",n14643467,lead//Pb//atomic number 82,"a soft heavy toxic malleable metallic element; bluish white when freshly cut but tarnishes readily to dull grey; ""the children were playing with lead soldiers"""
3217,tin or tinplate,A metallic element with symbol Sn or a thin sheet of steel coated with tin to prevent rusting.,NA,NA,NA
359,potter,One who makes pots and other ceramic wares.,n10460806,potter//thrower//ceramicist//ceramist,a craftsman who shapes pottery on a potter's wheel and bakes them it a kiln
289,mold,"To create something, usually for a specific function.",v01662771,cast//mold//mould,"form by pouring (e.g., wax or hot metal) into a cast or mold; ""cast a bronze sculpture"""
1399,clay,"A loose, earthy, extremely fine-grained, natural sediment or soft rock composed primarily of clay-size or colloidal particles and characterized by high plasticity and by a considerable content of clay mineral and subordinate amounts of finely divided quartz, decomposed feldspar, carbonates, ferruginous matter, and other impurities; it forms a plastic, moldable mass when finely ground and mixed with water, retains its shape on drying, and becomes firm, rocklike and permanently hard on heating or firing.",n14813182,clay,a very fine-grained soil that is plastic when moist but hard when fired
604,glass,"A hard, amorphous, inorganic, usually transparent, brittle substance made by fusing silicates, sometimes borates and phosphates, with certain basic oxides and then rapidly cooling to prevent crystallization.",n14881303,glass,a brittle transparent solid with irregular atomic structure
3294,braid (verb) or weave (basket),"To braid together hair, threads, strings, twigs etc. in order to create a larger string-like object or to weave a basket or use similar techniques for creating other objects.",NA,NA,NA
1539,basket,"A lightweight container, generally round, open at the top, and tapering toward the bottom.",n02801938,basket//handbasket,a container that is usually woven and has handles
195,mat,A flat object laid on the floor to protect a person from the hard floor.,n03727837,mat,a thick flat pad used as a floor covering
292,rug,A piece of thick cloth or wool that is smaller than a carpet and is put on the floor as decoration.,n04118021,rug//carpet//carpeting,floor covering consisting of a piece of thick heavy fabric (usually with nap or pile)
293,netbag,Bag made of net used to carry things.,NA,NA,NA
1971,fan (object),A device for creating a current of air by movement of a surface or surfaces. (WN:360),n03320046,fan,a device for creating a current of air by movement of a surface or surfaces
360,fan (action),"To blow air on (something) by means of a fan (hand-held, mechanical or electrical) or otherwise.",v01885580,fan,agitate the air
228,carve,To cut or to chip in order to form something.,v01256157,carve,"form by carving; ""Carve a flower from the ice"""
914,sculptor,A person who practices the art of sculpture.,n10566072,sculptor//sculpturer//carver//statue maker,an artist who creates sculptures
1002,statue,"A three-dimension work of art, usually of a person or animal, usually created by sculpting, carving, moulding, or casting.",n04306847,statue,a sculpture representing a human or animal
1979,chisel,A tool with a cutting edge at the end.,n03020692,chisel,an edge tool with a flat steel blade with a cutting edge
647,paint (pigments),"A mixture of pigment and a vehicle, such as oil or water, that together form a liquid or paste that can be applied to a surface to provide an adherent coating that imparts colour, protects the surface and/or gives the surface different features.",n03875218,paint//pigment,"a substance used as a coating to protect or decorate a surface (especially a mixture of pigment suspended in a liquid); dries to form a hard coating; ""artists use `paint' and `pigment' interchangeably"""
2001,painting,To make a painting or drawing.,v01362736,paint,"apply paint to; coat with paint; ""We painted the rooms yellow"""
765,move,To change the location of an object.,v01850315,move//displace,"cause to move or shift into a new position or place, both in a concrete and in an abstract sense; ""Move those boxes into the corner, please""; ""I'm moving my money to another bank""; ""The director moved more responsibilities onto his new assistant"""
1113,wrap,To surround on all sides.,v01522276,wind//wrap//roll//twine,"arrange or or coil around; ""roll your hair around your finger""; ""Twine the thread around the spool""; ""She wrapped her arms around the child"""
827,roll,To tip laterally.,v01866610,roll//revolve,"cause to move by turning over or in a circular manner of as if on an axis; ""She rolled the ball""; ""They rolled their eyes at his words"""
2866,drop (something),To let something fall down.,NA,NA,NA
3199,twist (around),To wind something around something else.,NA,NA,NA
568,rise (move upwards),(Of a heavenly body) To appear to move upwards from behind the horizon of a planet as a result of the planet's rotation.,v01968569,rise//lift//arise//move up//go up//come up//uprise,"move upward; ""The fog lifted""; ""The smoke arose from the forest fire""; ""The mist uprose from the meadows"""
501,lift,To cause an object to have a higher location than previously.,v01974062,raise//lift//elevate//get up//bring up,"raise from a lower to a higher position; ""Raise your hands""; ""Lift a load"""
1280,fall,To descend in free fall due to the effect of gravity.,v01972298,fall,"descend in free fall under the influence of gravity; ""The branch fell from the tree""; ""The unfortunate hiker fell into a crevasse"""
2253,drip (emit liquid),To emit drops of liquid.,v02071142,drip,"fall in drops; ""Water is dripping from the faucet"""
1456,throw,"To cause (an object) to move rapidly through the air, with the force of the hand or arm.",v01512625,flip//toss//sky//pitch,"throw or toss with a light motion; ""flip me the beachball""; ""toss me newspaper"""
702,catch,"To take hold of, especially in the hands, so as to seize or restrain or stop the motion of.",v01439190,catch//grab//take hold of,"take hold of so as to seize or restrain or stop the motion of; ""Catch the ball!""; ""Grab the elevator door!"""
1909,shake,To cause (something) to move rapidly from side to side.,v00559556,shake,"bring to a specified condition by or as if by shaking; ""He was shaken from his dreams""; ""shake the salt out of the salt shaker"""
2003,flow,To move as a fluid from one position to another (e.g. of water or of people).,v02066939,run//flow//feed//course,"move along, of liquids; ""Water flowed into the cave""; ""the Missouri feeds into the Mississippi"""
1088,sink (descend),"To go down in water, mud, quicksand etc. or to cause something to go down in it.",v01985923,sink//drop//drop down,"fall or descend to a lower place or level; ""He sank to his knees"""
1574,float,"Of an object or substance, to be supported by a liquid of greater density than the object so as that part of the object or substance remains above the surface. [WK:float]",v01904293,float//swim,be afloat either on or below a liquid surface and not sink to the bottom
1439,swim,"To move through the water, without touching the bottom.",v01960911,swim,"travel through water; ""We had to swim for 20 minutes to reach the shore""; ""a big fish was swimming in the tank"""
119,dive,To swim under water.,v01962671,dive,"swim under water; ""the children enjoyed diving and looking for shells"""
365,splash,To cause a liquid to spatter about. [WN:365],v01374767,sprinkle//splash//splosh,"cause (a liquid) to spatter about, especially with force; ""She splashed the water around her"""
787,sail,To traverse or travel by ship on a body of water.,v01945516,sail,"travel on water propelled by wind; ""I love sailing, especially on the open sea""; ""the ship sails on"""
1441,fly (move through air),"To move autonomously through the air, without any part of the object or object's enclosure touching anything attached to the ground.",v01940403,fly//wing,"travel through the air; be airborne; ""Man cannot fly"""
175,blow (of wind),(Of the wind or a current of air) To move.,v02769241,blow,"be blowing or storming; ""The wind blew from the West"""
3456,crawl or creep,To move using ones hands and knees or with one's belly touching the ground.,NA,NA,NA
66,kneel,To go down on one or both knees.,v01545649,kneel,"rest one's weight on one's knees; ""In church you have to kneel during parts of the service"""
296,crouch,To lower one's body close to the ground by bending one's knees completely.,v01545314,squat//crouch//scrunch//scrunch up//hunker//hunker down,"sit on one's heels; ""In some cultures, the women give birth while squatting""; ""The children hunkered down to protect themselves from the sandstorm"""
1324,slip,"To fall over (usually unexpectedly) onto the ground or floor, due to the floor being slippery, smooth or slimy.",v01870275,skid//slip//slue//slew//slide,"move obliquely or sideways, usually in an uncontrolled manner; ""the wheels skidded against the sidewalk"""
1829,jump,To propel oneself rapidly upward such that momentum causes the body to become airborne.,v01963942,jump//leap//bound//spring,"move forward by leaps and bounds; ""The horse bounded across the meadow""; ""The child leapt across the puddle""; ""Can you jump over the fence?"""
1135,kick,To strike somebody or something with the foot.,v01370561,kick,"strike with the foot; ""The boy kicked the dog""; ""Kick the door down"""
1879,dance,"To move with rhythmic steps or movements, especially in time to music.",v01708676,dance//trip the light fantastic//trip the light fantastic toe,"move in a pattern; usually to musical accompaniment; do or perform a dance; ""My husband and I like to dance at home to the radio"""
1443,walk,"To move from one place to another by moving legs alternately, so that at least one foot is in contact with the floor or surface at any one time.",v01904930,walk,"use one's feet to advance; advance by steps; ""Walk, don't run!""; ""We walked instead of driving""; ""She walks with a slight limp""; ""The patient cannot walk yet""; ""Walk over to the cabinet"""
366,limp,"To walk lamely, as if favouring one leg.",v01917244,limp//gimp//hobble//hitch,"walk impeded by some physical limitation or injury; ""The old woman hobbles down to the store every day"""
1519,run,To move quickly by alternately making a short jump off of either foot.,v01926311,run,"move fast by using one's feet, with one foot off the ground at any given time; ""Don't run--you'll be out of breath""; ""The children ran to the store"""
695,go,To get from one place to another by any means.,v01835496,travel//go//move//locomote,"change location; move, travel, or proceed, also metaphorically; ""How fast does your new car go?""; ""We travelled from Rome to Naples by bus""; ""The policemen went from door to door looking for the suspect""; ""The soldiers moved towards the city in an attempt to take it before night fell""; ""news travelled fast"""
1102,climb,"To mount to a high or little accessible place using feet and hands, e.g. a tree, a mountain or a ladder.",v01921964,climb//climb up//mount//go up,"go upward with gradual or continuous progress; ""Did you ever climb up the hill behind your house?"""
1446,come,"To move toward or to reach either the speaker, the person spoken to, or the subject of the speaker's narrative.",v02005948,arrive//get//come,"reach a destination; arrive by movement or progress; ""She arrived home at 7 o'clock""; ""She didn't get to Chicago until after midnight"""
1752,leave,"To move away from a place, a situation or a talk.",v02015598,exit//go out//get out//leave,"move out of or depart from; ""leave the room""; ""the fugitive has left the country"""
485,disappear,"To cease to appear, to not be visible anymore.",v00426958,disappear//vanish//go away,"get lost, as without warning or explanation; ""He disappeared without a trace"""
956,flee,Leaving a dangerous or unpleasant situation.,v02075462,flee//fly//take flight,"run away quickly; ""He threw down his gun and fled"""
1085,follow,To go or come after (in physical space) someone or something.,v01998432,follow,"to travel behind, go after, come after; ""The ducklings followed their mother around the pond""; ""Please follow the guide through the museum"""
1047,pursue,"Trying to achieve, to catch, or to reach something or someone.",v02000868,pursue//follow,"follow in or as if in pursuit; ""The police car pursued the suspected attacker""; ""Her bad deed followed her and haunted her dreams all her life"""
1387,arrive,To come to a destination.,v02005948,arrive//get//come,"reach a destination; arrive by movement or progress; ""She arrived home at 7 o'clock""; ""She didn't get to Chicago until after midnight"""
1778,approach,To come near to; to move towards.,v02053941,approach//near//come on//go up//draw near//draw close//come near,"move towards; ""We were approaching our destination""; ""They are drawing near""; ""The enemy army came nearer and nearer"""
749,enter,To go into.,v02016523,enter//come in//get into//get in//go into//go in//move into,"to come or go into; ""the boat entered an area of shallow marshes"""
700,carry,To lift and bring to somewhere else; to transport by lifting.,v01449974,transport//carry,"move while supporting, either in a vehicle or in one's hands or on one's body; ""You must carry your camping gear""; ""carry the suitcases to the car""; ""This train is carrying nuclear waste""; ""These pipes carry waste water into the river"""
412,carry in hand,To hold or to take something from one place to another by hands.,NA,NA,NA
413,carry on shoulder,To hold or to take something from one place to another on one shoulder.,NA,NA,NA
414,carry on head,To hold or to take something from one place to another on top of the head.,NA,NA,NA
415,carry under arm,To hold or to take something from one place to another under the arm.,NA,NA,NA
692,bring,To transport toward somewhere; to take something or somebody with oneself somewhere.,v02077656,bring//convey//take,"take something or somebody with oneself somewhere; ""Bring me the box from the other room""; ""Take these letters to the boss""; ""This brings me to the main point"""
1127,send,"To make something (an object, a message) go from one place to another.",v01031256,mail//post//send,"cause to be directed or transmitted to another place; ""send me your latest results""; ""I'll mail you the paper when it's written"""
43,lead (guide),To guide by moving in front.,v01999798,lead//take//direct//conduct//guide,"take somebody somewhere; ""We lead him to our chief""; ""can you take me to the main entrance?""; ""He conducted us to the palace"""
741,drive,To operate a vehicle.,v01930874,drive,"operate or control a vehicle; ""drive a car or bus""; ""Can you drive this four-wheel truck?"""
367,ride,To transport oneself by sitting on and directing an animal.,v01957529,ride//sit,"sit and travel on the back of animal, usually while controlling its motions; ""She never sat a horse!""; ""Did you ever ride a camel?""; ""The girl liked to drive the young mare"""
1452,push,"To apply a force to (an object), in order that it moves away from the origin of the force that was applied.",v01871979,push//force,"move with force, ""He pushed the table into a corner"""
667,road,A long piece of hard ground that people can drive along from one place to another.,n04096066,road//route,an open way (generally public) for travel or transportation
2252,path,A narrow piece of ground that people can walk along.,n03899328,path,a way especially designed for a particular use
1011,bridge,"A structure that spans and provides a passage over a road, railway, river, or some other obstacle.",n02898711,bridge//span,a structure that allows people or vehicles to cross an obstacle such as a river or canal or railway etc.
122,cart,"A two-wheeled vehicle, commonly without springs, drawn by mules, oxen, or the like, used for the conveyance of heavy goods.",n04543158,wagon//waggon,any of various kinds of wheeled vehicles drawn by an animal or a tractor
710,wheel,A circular object that spins around a central axe thereby allowing relatively low-friction movement.,n04574999,wheel,a simple machine consisting of a circular frame with spokes (or a solid disc) that can rotate on a shaft or axle (as in vehicles or other machines)
1769,axle,"The central part of a wheel, that usually does not turn.",n02764779,axle,a shaft on which a wheel rotates
14,yoke,A device for joining together a pair of draft animals.,n04613350,yoke,support consisting of a wooden frame across the shoulders that enables a person to carry buckets hanging from each end
740,ship,"A vessel propelled by engines or sails for navigating on the water, especially a large vessel that can not be carried aboard another, as distinguished from a boat.",n04194289,ship,a vessel that carries passengers or freight
1844,boat,"A craft used for transportation of goods, fishing, racing, recreational cruising, or military use on or in the water, propelled by oars or outboard motor or inboard motor or by wind.",n02858304,boat,a small vessel for travel on water
1970,canoe,A light narrow boat driven by a paddle.,n02951358,canoe,small and light boat; pointed at both ends; propelled with a paddle
416,outrigger,A stabilizer for a canoe; spars attach to a shaped log or float parallel to the hull.,n03861271,outrigger,a stabilizer for a canoe; spars attach to a shaped log or float parallel to the hull
1664,raft,"A collection of logs, planks, casks, etc., fastened together for floating on water.",n04045397,raft,a flat float (usually made of logs or planks) that can be used for transport or as a platform for swimmers
3137,oar,"A pole with a blade at one end, and with the other end attached to the boat via an oarlock or thole, used to row or steer a boat.",NA,NA,NA
234,paddle,"A pole with a blade at one or both ends, the pole itself being not attached to the boat but held by both hands, used to row or steer a boat.",n03873416,paddle//boat paddle,a short light oar used without an oarlock to propel a canoe or small boat
1849,row,To pull oars through water in order to make a water vehicle (such as a boat) move.,v01946996,row,"propel with oars; ""row the boat across the lake"""
108,rudder,"An underwater vane used to steer a vessel. The rudder is controlled by means of a wheel, tiller or other apparatus.",n03837422,oar,an implement used to propel or steer a boat
184,mast,"Post of wood or steel, long, round and straight, standing on a ship, intended to carry the sails, flags, floodlights, or communications equipment.",n03726760,mast,a vertical spar for supporting sails
786,sailcloth,A large piece of fabric (as canvas) by means of which wind is used to propel a sailing vessel.,n04127904,sail//canvas//canvass//sheet,a large piece of fabric (usually canvas fabric) by means of which wind is used to propel a sailing vessel
1870,anchor,"Something, usually a heavy piece of metal with points which dig into the sea-bed, used to hold a boat in one position.",n02709367,anchor//ground tackle,a mechanical device that prevents a vessel from moving
610,port,"Area of water next to the coast, often surrounded by thick walls, where ships and boats can be sheltered.",n08633957,port,a place (seaport or airport) where people and merchandise can enter or leave a country
1922,land (descend),"To descend to a surface, especially from the air.",v01981436,land//set ashore//shore,"arrive on shore; ""The ship landed in Pearl Harbor"""
773,have,To be in possession (of an object).,v02203362,have//have got//hold,"have or possess, either in a concrete or an abstract sense; ""She has $1,000 in the bank""; ""He has got two beautiful daughters""; ""She holds a Master's degree from Harvard"""
684,own,"To have rightful possession of property, goods or capital.",v02204692,own//have//possess,"have ownership or possession of; ""He owns three houses in Florida""; ""How many cars does she have?"""
1749,take,To grasp with the hands.,v01214265,take//get hold of,"get into one's hands, take physically; ""Take a cookie!""; ""Can you take this bag, please"""
855,seize,To grasp and hold firmly.,NA,NA,NA
1448,hold,To grasp or grip (particularly with the hand) so that the object does not end up at the surface below.,v01216670,hold//take hold,"have or hold in one's hands or grip; ""Hold this bowl for a moment, please""; ""A crazy idea took hold of him"""
694,get,To get or obtain an item; to come into the possession of something.,v02210855,get//acquire,"come into the possession of something concrete or abstract; ""She got a lot of paintings from her uncle""; ""They acquired a new pet""; ""Get your results the next day""; ""Get permission to take a few days off from work"""
1477,keep,To retain possession of something.,v02202384,keep//hold on,"retain possession of; ""Can I keep my old stuffed animals?""; ""She kept her maiden name after she married"""
738,thing,"That which is considered to exist as a separate entity, quality or concept.",n00002452,thing,a separate and self-contained entity
1447,give,To transfer the possession or holding (of an object) to another person.,v02199590,give,"transfer possession of something concrete or abstract to somebody; ""I gave her my money""; ""can you give me lessons?""; ""She gave the children lots of love and tender loving care"""
1997,preserve,To protect; to keep; to maintain the condition of.,v02280132,conserve//preserve//maintain//keep up,"keep in safety and protect from harm, decay, loss, or destruction; ""We preserve these archeological findings""; ""The old lady could not keep up the building""; ""children must be taught to conserve our national heritage""; ""The museum curator conserved the ancient manuscripts"""
2008,rescue,To free from harm or evil.,v02551144,rescue//deliver,free from harm or evil
681,destroy,To damage beyond use or repair.,v01564144,destroy//ruin,"destroy completely; damage irreparably; ""You have ruined my car by pouring sugar in the tank!""; ""The tears ruined her make-up"""
1468,look for,To try to find something.,v01315613,search//seek//look for,"try to locate or discover, or try to establish the existence of; ""The police are searching for clues""; ""They are searching for the missing man in the entire county"""
719,find,To encounter something by accident or after searching for it.,v02285629,find//regain,"come upon after searching; find the location of something that was missed or lost; ""Did you find your glasses?""; ""I cannot find my gloves!"""
3072,misplace,To place something in a place where one cannot find it again or in a wrong place; to lose something.,NA,NA,NA
1095,let go or set free,To give freedom; to stop holding; to release from confinement or restraint.,v01474550,let go of//let go//release//relinquish,"release, as from one's grip; ""Let go of the door handle, please!""; ""relinquish your grip on the rope--you won't fall"""
1559,money,An unspecified amount in a currency.,n13384557,money,"the most common medium of exchange; functions as legal tender; ""we tried to collect the money he owed us"""
1867,coin,"A piece of currency, usually metallic and in the shape of a disc, but sometimes polygonal, or with a hole in the middle.",n13388245,coin,a flat metal piece (usually a disc) used as money
712,rich,Possessing in abundance a particular trait.,a02021905,rich,"possessing material wealth; ""her father is extremely rich""; ""many fond hopes are pinned on rich uncles"""
1674,poor,With little or no possessions or money.,a02022953,poor,"having little money or few possessions; ""deplored the gap between rich and poor countries""; ""the proverbial poor artist living in a garret"""
1934,beggar,A person who begs.,n09847010,beggar//mendicant,a pauper who lives by begging
1774,stingy,Excessively unwilling to spend.,a01112573,stingy//ungenerous,"unwilling to spend; ""she practices economy without being stingy""; ""an ungenerous response to the appeal for funds"""
582,lend,"To put an item or resource at the disposal of another, with the requirement to have the same or its equivalent returned eventually.",v02324182,lend//loan,"give temporarily; let have for a limited time; ""I will lend you my car""; ""loan me some money"""
1823,borrow,"To receive (something) from somebody temporarily, expecting to return it.",v02324026,borrow,"get temporarily; ""May I borrow your lawn mower?"""
369,owe,To be under an obligation to give something back to someone or to perform some action for someone; to have debt.,v02253956,owe,"be in debt; ""She owes me $200""; ""I still owe for the car""; ""The thesis owes much to his adviser"""
1914,debt,Something owed to someone else.,n13397174,debt,money or goods or services owed by one person to another
718,pay,To give money in exchange for goods or services.,v02251743,pay,"give money, usually in exchange for goods or services; ""I paid four dollars for this sandwich""; ""Pay the waitress, please"""
1081,bill,"Sum owed in a restaurant, or the relative bill.",n06516955,bill//account//invoice,"an itemized statement of money owed for goods shipped or services rendered; ""he paid his bill and left""; ""send me an account of what I owe"""
873,tax,"An amount of money demanded by a government for its support or for specific facilities or services, most frequently levied upon income, property or sales.",n13308999,tax//taxation//revenue enhancement,charge against a citizen's person or property or activity for the support of government
1122,wages,"A fixed amount of money paid to a worker, usually measured on a monthly or annual basis.",n07295629,wages//reward//payoff,"a recompense for worthy acts or retribution for wrongdoing; ""the wages of sin is death""; ""virtue is its own reward"""
733,earn,"To gain (success, payment) through applied effort or work.",v02289295,gain//take in//clear//make//earn//realize//realise//pull in//bring in,"earn on some commercial or business transaction; earn as salary or wages; ""How much do you make a month in your new job?""; ""She earns a lot in her new job""; ""this merger brought in lots of money""; ""He clears $5,000 each month"""
1869,buy,To obtain in exchange for money or goods.,v02207206,buy//purchase,"obtain by purchase; acquire by means of a financial transaction; ""The family purchased a new car""; ""The conglomerate acquired a new company""; ""She buys for the big department store"""
1571,sell,To provide goods or services in exchange for money.,v02242464,sell,"exchange or deliver for money or its equivalent; ""He sold his house in January""; ""She sells her body to survive and support her drug habit"""
2135,trade or barter,To exchange goods with or without exchanging money.,v02259241,barter,exchange goods without involving money
1082,merchant,A businessperson engaged in trade.,n10309896,merchant//merchandiser,a businessperson engaged in retail trade
633,market,Place of commercial activity in which articles are bought and sold.,n03722288,marketplace//market place//mart//market,an area in a town where a public mercantile establishment is set up
752,store,"An establishment, either physical or virtual, that sells goods or services to the public.",n04202417,shop//store,"a mercantile establishment for the retail sale of goods or services; ""he bought it at a shop on Cape Cod"""
657,price,The amount of money paid per unit for a good or service.,n13303315,price//terms//damage,"the amount of money needed to purchase something; ""the price of gasoline""; ""he got his new car on excellent terms""; ""how much is the damage?"""
1426,expensive,"Having a high price, cost.",a00933154,expensive,"high in price or charging high prices; ""expensive clothes""; ""an expensive shop"""
1887,cheap,Low in price.,a00934199,cheap//inexpensive,"relatively low in price or charging low prices; ""it would have been cheap at twice the price""; ""inexpensive family restaurants"""
884,share,To give part of what one has to somebody else to use or consume.,v02295208,partake//share//partake in,"have, give, or receive a share of; ""We shared the cake"""
1098,weigh,To determine the weight of an object.,v02704818,weigh,have a certain weight
1685,after,"Subsequent, following, in time or space.",NA,NA,NA
1686,behind,At the back of.,NA,NA,NA
1816,beside,To be positioned at the side of a given object.,NA,NA,NA
1882,before,At a time before that.,NA,NA,NA
1883,in front of,In front of in space,NA,NA,NA
1606,inside,Contained or encased by something or inside a building as opposed to outside in the open air.,NA,NA,NA
762,outside,"In the open, not within a building, or outside of something in general.",NA,NA,NA
1485,below or under,Situated in a lower place than something else.,NA,NA,NA
1591,up,Moving to a higher position.,r00096333,up//upwards//upward//upwardly,"spatially or metaphorically from a lower to a higher position; ""look up!""; ""the music surged up""; ""the fragments flew upwards""; ""prices soared upwards""; ""upwardly mobile"""
723,place (position),A position or area in a space.,n08621598,position//place,"the particular portion of space occupied by something; ""he put the lamp back in its place"""
998,put,To set or place an object somewhere.,v01494310,put//set//place//pose//position//lay,"put into a certain place or abstract location; ""Put your things here""; ""Set the tray down""; ""Set the dogs on the scent of the missing children""; ""Place emphasis on a certain point"""
1416,sit,To be in a position with the upper body upright and the legs resting.,v01984902,sit down//sit,take a seat
1442,stand,"To be upright in an erect position, supported by the feet.",v01546111,stand//stand up,"be standing; be upright; ""We had to stand for the entire performance!"""
987,remain,To continue to be in the same place or state.,v02727462,stay//stay on//continue//remain,"continue in a place, position, or situation; ""After graduation, she stayed on in Cambridge as a student adviser""; ""Stay with me, please""; ""despite student protests, he remained Dean for another year""; ""She continued as deputy mayor for another year"""
838,remains,What remains after other things have been taken away (e.g. eaten or destroyed).,n13810818,remainder//balance//residual//residue//residuum//rest,"something left after other parts have been taken away; ""there was no remainder""; ""he threw away the rest""; ""he took what he wanted and I got the balance"""
7,gather,"To collect or gather (e.g. work, magazines, etc.).",v01380638,gather//garner//collect//pull together,"assemble or get together; ""gather some stones""; ""pull your thoughts together"""
1743,join,"To join or unite, as one thing to another, or as several particulars, so as to increase the number, augment the quantity, enlarge the magnitude, or so as to form into one aggregate; to sum up; to put together mentally, as, to add numbers; to add up a column.",v01295275,join//bring together,"cause to become joined or linked; ""join these two parts so that they fit together"""
1359,separate,To cause something or someone to move away from something or someone else.,v01556921,separate//disunite//divide//part,"force, take, or pull apart; ""He separated the fighting children""; ""Moses parted the Red Sea"""
1119,divide,To split or separate something into two or more parts.,v02467662,divide//split//split up//separate//dissever//carve up,"separate into parts or portions; ""divide the cake into three equal parts""; ""The British carved up the Ottoman Empire after World War I"""
1156,open,"To make the inside something accessible by moving an obstacle aside (e.g. a door or covering), or to move said obstacle.",v01346003,open//open up,"cause to open or to become open; ""Mary opened the car door"""
1046,shut,"To move (a door, a window, etc.) so that it closes its opening.",v01345109,close//shut,"move so that an opening or passage is obstructed; make shut; ""Close the door""; ""shut the window"""
761,cover,To place something over or upon to conceal or protect.,v01332730,cover,"provide with a covering or cause to be covered; ""cover her face with a handkerchief""; ""cover the child with a blanket""; ""cover the grave with flowers"""
602,hide (conceal),To put something in a place where it will be harder to discover or out of sight.,v02144835,hide//conceal,"prevent from being seen or discovered; ""Muslim women hide their faces""; ""hide the money"""
1265,high,Being in a position comparatively far above to the ground.,r00356957,high//high up,"at a great altitude; ""he climbed high on the ladder"""
721,low,Being in a position comparatively close to the ground.,r00393149,low,"in a low position; near the ground; ""the branches hung low"""
1753,top,Highest and most elevated point.,n08617963,peak//crown//crest//top//tip//summit,"the top or extreme point of something (usually a mountain or hill); ""the view from the peak was magnificent""; ""they clambered to the tip of Monadnock""; ""the region is a few molecules wide at the summit"""
690,bottom,The part furthest in the direction toward which an unsupported object would fall.,n08511970,bottom,"the lowest part of anything; ""they started at the bottom of the hill"""
742,end (of space),Extreme part.,n08565894,end,"a boundary marking the extremities of something; ""the end of town"""
372,pointed,Ending in an acute point.,a01809655,pointed,having a point
863,edge,The boundary of a surface.,n03264542,edge,"the outside limit of an object or area or surface; a place farthest away from the center of something; ""the edge of the leaf is wavy""; ""she sat on the edge of the bed""; ""the water's edge"""
682,side,The side of an object or person.,n08649345,side,"a place within a region identified relative to a center or reference location; ""they always sat on the right side of the church""; ""he never left my side"""
1019,right,Something that is on the right side relative to another object.,r00387828,right,"toward or on the right; also used figuratively; ""he looked right and left""; ""the party has moved right"""
244,left,Something that is on the left side relative to another object.,r00387666,left,"toward or on the left; also used figuratively; ""he looked right and left""; ""the political party has moved left"""
1942,near,Not far distant in time or space or degree or circumstances.,r00409709,near//nigh//close,"near in time or place or relationship; ""as the wedding day drew near""; ""stood near the door""; ""don't shoot until they come near""; ""getting near to the true explanation""; ""her mother is always near""; ""The end draws nigh""; ""the bullet didn't come close""; ""don't get too close to the fire"""
1406,far,Having a large intervening distance with regard to something.,r00101051,far,"at or to or from a great distance in space; ""he traveled far""; ""strayed far from home""; ""sat far away from each other"""
1877,east,"One of the four principal compass points, specifically 90°, conventionally directed to the right on maps. The direction of the rising sun.",n13832355,east//due east//eastward//E,the cardinal compass point that is at 90 degrees
1817,west,"One of the four principal compass points, specifically 270°, conventionally directed to the left on maps. The direction of the setting sun.",n13834399,west//due west//westward//W,the cardinal compass point that is a 270 degrees
1598,north,"One of the four major compass points, specifically 0°, directed toward the North Pole, and conventionally upwards on a map.",n13831176,north//due north//northward//N,the cardinal compass point that is at 0 or 360 degrees
1595,south,"One of the four major compass points, specifically 180°, directed toward the South Pole, and conventionally downwards on a map.",n13833375,south//due south//southward//S,the cardinal compass point that is at 180 degrees
