concepticon_id,name,description,pwn_synset,wordnet_gloss,wordnet_definition
1304,child (young human),A person below the age of puberty.,n09917593,child//kid//youngster//minor//shaver//nipper//small fry//tiddler//tike//tyke//fry//nestling,"a young person of either sex; ""she writes books for children""; ""they're just kids""; ""`tiddler' is a British term for youngster"""
1289,baby,"A very young human being, from birth to a year old.",n09827683,baby//babe//infant,"a very young child (birth to 1 year) who has not yet begun to walk or talk; ""the baby began to cry again""; ""she held the baby in her arms""; ""it sounds simple, but when you have your own baby it is all so different"""
1200,husband,The male partner in a marriage.,n10193967,husband//hubby//married man,a married man; a woman's partner in marriage
1199,wife,The female partner in a marriage.,n10780632,wife//married woman,a married woman; a man's partner in marriage
203,marry,To enter marriage; to take a husband or a wife.,v02488834,marry//get married//wed//conjoin//hook up with//get hitched with//espouse,take in marriage
1134,divorce,Legal dissolution of a marriage.,n01201271,divorce//divorcement,the legal dissolution of a marriage
1217,father,A male parent.,n10080869,father//male parent//begetter,"a male parent (also used as a term of address to your father); ""his father was born in Atlanta"""
1216,mother,A woman who has at least one child.,n10332385,mother//female parent,"a woman who has given birth to a child (also used as a term of address to your mother); ""the mother of three children"""
505,parents,Father and mother of a child.,n10399491,parent,a father or mother; one who begets or one who gives birth to or nurtures and raises a child; a relative who plays the role of guardian
1620,son,One's male child.,n10624074,son//boy,"a male human offspring; ""their son became a famous judge""; ""his boy is taller than he is"""
1357,daughter,An animal's female offspring (including that of a human).,n09992837,daughter//girl,"a female human offspring; ""her daughter cared for her in her old age"""
1801,child (descendant),Biological offspring.,n09918248,child//kid,"a human offspring (son or daughter) of any age; ""they had three children""; ""they were able to send their kids to college"""
1262,brother,A male person who has the same parents as another person.,n09876454,brother//blood brother,"a male with the same parents as someone else; ""my brother still lives with our parents"""
1263,sister,A female person who has the same parents as another person.,n10602985,sister//sis,"a female person who has the same parents as another person; ""my sister married a musician"""
1640,sibling,A person who has the same parents as another person.,n10595164,sibling//sib,a person's brother or sister
1005,twins,A case of multiple birth in which the mother gives birth to two offspring from the same pregnancy.,n10734394,twin,either of two offspring born at the same time from the same pregnancy
1383,grandfather,The father of one of someone's parents.,n10142391,grandfather//gramps//granddad//grandad//granddaddy//grandpa,the father of your father or mother
1496,grandmother,The mother of one of someone's parents.,n10142747,grandma//grandmother//granny//grannie//gran//nan//nanna,the mother of your father or mother
1618,grandson,A son of someone's child.,n10143299,grandson,a male grandchild
1619,granddaughter,A daughter of someone's child.,n10141732,granddaughter,a female grandchild
1327,uncle,The brother of someone’s father or mother.,n10736091,uncle,the brother of your father or mother; the husband of your aunt
1272,aunt,A woman with one or more siblings who have one or more children; a sister of someone's father or mother.,n09823502,aunt//auntie//aunty,the sister of your father or mother; the wife of your uncle
1063,nephew,A son of someone's brother or sister.,n10353355,nephew,a son of your brother or sister
1642,niece,A daughter of someone’s brother or sister.,n10357613,niece,a daughter of your brother or sister
1643,cousin,The child of the sibling of a parent of a person.,n09972010,cousin//first cousin//cousin-german//full cousin,the child of your aunt or uncle
1669,ancestors,"Person from whom a person is descended, whether on the father's or mother's side, at any number of generations.",n09792555,ancestor//ascendant//ascendent//antecedent//root,someone from whom you are descended (but usually more remote than a grandparent)
