concepticon_id,concepticon_gloss,semantic_field,ontological_category,semantic_category,lex_wold_strict,wl_mean,wl_cvar,en,do_mean,do_cvar,ins,cd,aoa_self,conc,sens
307,hawk,Animals,Person/Thing,Noun,0.741662,2.795223,1.445387,18.969458,112.67876,1.05199,2.7e-5,357.460694,6.74391,4.93,4.951050261
319,lick,The body,Action/Process,Verb,1,7.144828,0.854992,16.842448,105.89475,0.5892,5.4e-5,217.146247,4.3,4.52,5.81228563
320,lame,The body,Property,Adjective,0.930532,8.945745,1.3388,28.200972,98.82161,0.72204,1.02e-4,577.57342,9.21,2.52,3.021930112
322,fig,Food and drink,Person/Thing,Noun,0.361152,5.453718,1.216891,5.903539,102.94554,0.67319,2.6e-5,103.826758,8.06,4.97,5.439348228
323,fat,The body,Person/Thing,Noun,0.917845,52.104321,0.665167,102.762085,215.73413,1.13287,0.001185,1803.619104,5.15,4.61,5.75207545
329,stocking,Clothing and grooming,Person/Thing,Noun,1,32.1027,0.492411,39.819946,93.21774,0.39321,2.49e-4,719.667754,2.94,4.91,6.226233023
337,pitchfork,Agriculture and vegetation,Person/Thing,Noun,0.304356,7.231581,0.956967,14.816724,102.81193,1.12364,1.86e-4,274.992584,3.63,5,6.247655603
342,hay,Agriculture and vegetation,Person/Thing,Noun,0.526667,4.975554,1.415741,10.707398,177.98194,2.07263,1.47e-4,192.524473,5.32,4.87,4.668342343
367,ride,Motion,Action/Process,Verb,0.458519,24.643521,1.423732,150.699396,239.19618,1.61788,2.05e-4,2161.376446,4.67,3.75,4.596801889
383,master,Social and political relations,Person/Thing,Noun,0.517275,89.830595,1.20039,144.491999,139.68316,1.31285,1.08e-4,2550.281815,5.95,3.61,4.424039022
390,punishment,Law,Person/Thing,Noun,0.499636,70.837001,0.999378,29.749204,95.68784,0.56162,2.01e-4,570.157223,5.47,2.86,5.292874353
391,bless,Religion and belief,Action/Process,Verb,0.638954,35.231597,0.948278,131.455018,117.84247,1.16501,7e-6,819.63809,5.33,2.68,3.658289017
410,yam,Agriculture and vegetation,Person/Thing,Noun,0.187178,2.226898,1.483671,1.085209,287.08098,1.66635,4e-6,36.487689,8.34246,4.93,6.123790251
411,gourd,Agriculture and vegetation,Person/Thing,Noun,0.302348,2.743016,1.211167,1.403537,151.06343,1.07283,8e-6,22.248591,10.65,4.86,5.178837237
476,cup,Food and drink,Person/Thing,Noun,0.920028,59.79715,0.903993,146.517723,129.96443,0.68743,3.07e-4,2722.9308810000002,3.57,5,6.188637753
488,manner,Cognition,Person/Thing,Noun,0.691122,480.911306,0.800549,1378.10004,2167.125,0.76063,4.3e-4,26436.665678,5.39,2.34,4.604562167
492,three,Quantity,Number,Function word,1,355.846832,0.363343,336.197837,1557.53774,1.01726,2.29e-4,27508.751112,3.685351,3.62,4.275143482
493,five,Quantity,Number,Function word,1,111.39838,0.400384,140.020937,505.57201,0.89303,8.4e-5,12776.920795,4.50594,3.87,4.545895708
499,cure,The body,Action/Process,Verb,0.84824600000000006,39.830482,0.589453,77.382657,156.21995,1.65951,1.57e-4,736.280036,7.47,3.03,4.390628721
503,frog,Animals,Person/Thing,Noun,1,13.071298,0.470982,16.495181,405.86094,2.77231,2.42e-4,298.427766,4.32,5,5.281379517
505,parents,Kinship,Person/Thing,Noun,0.821946,136.484668,0.395183,205.032208,562.76872,1.16405,4.44e-4,3760.011866,4.22,4.56,5.669998916
506,maize,Agriculture and vegetation,Person/Thing,Noun,0.727014,11.593948,0.84794,29.836021,280.98966,1.32438,3.36e-4,525.363394,4.61,4.96,6.619986555
509,certain,Cognition,Property,Adjective,0.76797,436.902725,0.552118,796.080594,198.70876,0.73407,2.77e-4,15739.543162,4.85,1.73,3.897127952
