concepticon_id,concepticon_gloss,semantic_field,ontological_category,semantic_category,lex_wold
384,freeman,Social and political relations,Person/Thing,Noun,0.493786
386,battle-axe,Warfare and hunting,Person/Thing,Noun,0.397306
387,sling,Warfare and hunting,Person/Thing,Noun,0.776838
388,fishnet,Warfare and hunting,Person/Thing,Noun,0.969242
390,punishment,Law,Person/Thing,Noun,0.826629
391,bless,Religion and belief,Action/Process,Verb,0.872584
392,magic,Religion and belief,Person/Thing,Noun,0.92179
403,garden-house,The house,Person/Thing,Noun,0.376005
410,yam,Agriculture and vegetation,Person/Thing,Noun,0.562752
411,gourd,Agriculture and vegetation,Person/Thing,Noun,0.703003
412,carry in hand,Motion,Action/Process,Verb,0.804434
413,carry on shoulder,Motion,Action/Process,Verb,0.83385
414,carry on head,Motion,Action/Process,Verb,0.686998
415,carry under arm,Motion,Action/Process,Verb,0.747387
416,outrigger,Motion,Person/Thing,Noun,0.356067
418,for a long time,Time,Other,Function word,0.947048
420,forest,The physical world,Person/Thing,Noun,1
421,retreat,Warfare and hunting,Action/Process,Verb,0.939442
425,be late,Time,Property,Verb,0.969504
471,upper leg,The body,Person/Thing,Noun,1
474,dress,Clothing and grooming,Person/Thing,Noun,0.975191
476,cup,Food and drink,Person/Thing,Noun,0.976504
477,late,Time,Other,Function word,0.919962
478,lip,The body,Person/Thing,Noun,1
479,grow,Spatial relations,Action/Process,Verb,1
480,plate,Food and drink,Person/Thing,Noun,0.986424
481,dish,Food and drink,Person/Thing,Noun,0.936726
482,noble,Social and political relations,Person/Thing,Noun,0.429616
484,condemn,Law,Action/Process,Verb,0.745109
485,disappear,Motion,Action/Process,Verb,0.974618
488,manner,Cognition,Person/Thing,Noun,0.871651
489,kidney,The body,Person/Thing,Noun,1
490,descendants,Kinship,Person/Thing,Noun,0.904788
492,three,Quantity,Number,Function word,1
493,five,Quantity,Number,Function word,1
497,scar,The body,Person/Thing,Noun,0.973358
499,cure,The body,Action/Process,Verb,0.896278
501,lift,Motion,Action/Process,Verb,1
502,nail,Basic actions and technology,Person/Thing,Noun,1
503,frog,Animals,Person/Thing,Noun,1
504,learn,Cognition,Action/Process,Verb,1
505,parents,Kinship,Person/Thing,Noun,0.907566
506,maize,Agriculture and vegetation,Person/Thing,Noun,0.855125
509,certain,Cognition,Property,Adjective,0.931085
522,wolf,Animals,Person/Thing,Noun,0.686812
525,blood vessel,The body,Person/Thing,Noun,1
526,howl,Speech and language,Action/Process,Verb,0.991224
539,nest,Animals,Person/Thing,Noun,1
568,rise,The physical world,Action/Process,Verb,1
576,dandruff,The body,Person/Thing,Noun,0.966512
578,kiss,Emotions and values,Action/Process,Verb,1
579,battle,Warfare and hunting,Person/Thing,Noun,1
580,fur,The body,Person/Thing,Noun,0.936162
582,lend,Possession,Action/Process,Verb,0.974544
584,difficult,Cognition,Property,Adjective,1
585,boot,Clothing and grooming,Person/Thing,Noun,0.908584
586,garden,Agriculture and vegetation,Person/Thing,Noun,0.766764
587,ant,Animals,Person/Thing,Noun,1
590,naked,The body,Property,Adjective,0.974618
592,piss,The body,Action/Process,Verb,1
593,potato,Food and drink,Person/Thing,Noun,0.937546
597,physician,The body,Person/Thing,Noun,0.976504
598,shell,Animals,Person/Thing,Noun,0.920112
601,lie,Emotions and values,Action/Process,Verb,1
602,hide,Spatial relations,Action/Process,Verb,1
603,coat,Clothing and grooming,Person/Thing,Noun,0.908642
604,glass,Basic actions and technology,Person/Thing,Noun,0.975191
605,grain,Agriculture and vegetation,Person/Thing,Noun,0.791824
606,grass,Agriculture and vegetation,Person/Thing,Noun,0.976504
607,grasshopper,Animals,Person/Thing,Noun,1
610,port,Motion,Person/Thing,Noun,0.602267
613,high tide,The physical world,Person/Thing,Noun,0.483328
615,horse,Animals,Person/Thing,Noun,1
617,ice,The physical world,Person/Thing,Noun,0.974618
618,precipice,The physical world,Person/Thing,Noun,0.978399
619,animal,Animals,Person/Thing,Noun,1
620,insect,Animals,Person/Thing,Noun,0.765371
621,iron,Basic actions and technology,Person/Thing,Noun,1
622,island,The physical world,Person/Thing,Noun,0.934582
623,lagoon,The physical world,Person/Thing,Noun,0.521696
624,lake,The physical world,Person/Thing,Noun,0.954903
626,land,The physical world,Person/Thing,Noun,1
627,lead,Basic actions and technology,Person/Thing,Noun,0.911911
628,leaf,Agriculture and vegetation,Person/Thing,Noun,1
629,leather,Clothing and grooming,Person/Thing,Noun,0.953785
630,light,The physical world,Person/Thing,Noun,1
631,livestock,Animals,Person/Thing,Noun,0.791575
632,lizard,Animals,Person/Thing,Noun,0.976504
633,market,Possession,Person/Thing,Noun,0.817937
634,meat,Food and drink,Person/Thing,Noun,1
635,milk,Food and drink,Person/Thing,Noun,1
636,mill,Food and drink,Person/Thing,Noun,0.737109
640,mud,The physical world,Person/Thing,Noun,1
641,mushroom,Agriculture and vegetation,Person/Thing,Noun,1
643,need,Cognition,Person/Thing,Noun,0.916472
644,oak,Agriculture and vegetation,Person/Thing,Noun,0.578756
645,ocean,The physical world,Person/Thing,Noun,0.722529
646,ash,The physical world,Person/Thing,Noun,1
647,paint,Basic actions and technology,Person/Thing,Noun,0.976504
648,paper,Speech and language,Person/Thing,Noun,1
649,pasture,Animals,Person/Thing,Noun,0.867235
652,plain,The physical world,Person/Thing,Noun,0.942575
653,plant,Agriculture and vegetation,Person/Thing,Noun,0.76907
655,poison,The body,Person/Thing,Noun,0.976504
657,price,Possession,Person/Thing,Noun,0.885229
658,rain,The physical world,Person/Thing,Noun,1
660,reef,The physical world,Person/Thing,Noun,0.460214
661,religion,Religion and belief,Person/Thing,Noun,0.714107
663,bay,The physical world,Person/Thing,Noun,0.5534
665,bee,Animals,Person/Thing,Noun,1
667,road,Motion,Person/Thing,Noun,0.974618
670,root,Agriculture and vegetation,Person/Thing,Noun,1
671,sand,The physical world,Person/Thing,Noun,1
672,early,Time,Property,Function word,0.975191
673,school,Cognition,Person/Thing,Noun,1
674,mouth,The body,Person/Thing,Noun,1
676,shit,The body,Action/Process,Verb,1
677,axe,Basic actions and technology,Person/Thing,Noun,1
678,beard,The body,Person/Thing,Noun,1
679,bright,Sense perception,Property,Adjective,0.9776
680,break,Basic actions and technology,Action/Process,Verb,1
681,destroy,Possession,Action/Process,Verb,0.975191
682,side,Spatial relations,Person/Thing,Noun,1
683,person,Kinship,Person/Thing,Noun,0.974115
684,own,Possession,Action/Process,Verb,0.847363
686,easy,Cognition,Property,Adjective,0.973897
688,lung,The body,Person/Thing,Noun,1
690,bottom,The physical world,Person/Thing,Noun,1
691,season,Time,Person/Thing,Noun,0.800673
692,bring,Motion,Action/Process,Verb,0.991453
694,get,Possession,Action/Process,Verb,0.952801
695,go,Motion,Action/Process,Verb,1
698,wise,Cognition,Property,Adjective,0.950039
700,carry,Motion,Action/Process,Verb,0.98504
701,slow,Time,Property,Adverb,1
702,catch,Motion,Action/Process,Verb,1
703,soon,Time,Other,Function word,0.945541
704,clean,Sense perception,Property,Adjective,0.959658
706,dark,Sense perception,Property,Adjective,0.934744
707,remember,Cognition,Action/Process,Verb,1
708,shine,Sense perception,Action/Process,Verb,1
709,teach,Cognition,Action/Process,Verb,1
710,wheel,Motion,Person/Thing,Noun,0.974634
711,tall,Spatial relations,Property,Adjective,1
712,rich,Possession,Property,Adjective,0.824682
713,steal,Law,Action/Process,Verb,1
714,seed,Agriculture and vegetation,Person/Thing,Noun,1
715,shout,Speech and language,Action/Process,Verb,1
716,groan,Emotions and values,Action/Process,Verb,1
717,sweet,Sense perception,Property,Adjective,1
718,pay,Possession,Action/Process,Verb,0.98504
719,find,Possession,Action/Process,Verb,1
720,good luck,Emotions and values,Person/Thing,Noun,0.923137
721,low,Spatial relations,Property,Adjective,0.991453
722,attack,Warfare and hunting,Person/Thing,Noun,0.861684
723,place,Spatial relations,Person/Thing,Noun,0.974618
724,read,Speech and language,Action/Process,Verb,0.976504
727,which,Cognition,Other,Function word,1
728,first,Quantity,Other,Function word,1
729,dawn,Time,Person/Thing,Noun,1
730,snake,Animals,Person/Thing,Noun,1
731,beverage,Food and drink,Person/Thing,Noun,0.948926
733,earn,Possession,Action/Process,Verb,0.897172
735,owl,Animals,Person/Thing,Noun,0.976504
736,yard,The house,Person/Thing,Noun,0.917689
737,light,The physical world,Action/Process,Verb,1
738,thing,Possession,Person/Thing,Noun,1
740,ship,Motion,Person/Thing,Noun,0.866959
741,drive,Motion,Action/Process,Verb,0.872525
742,end,Spatial relations,Person/Thing,Noun,1
743,end,Time,Person/Thing,Noun,0.975182
744,egg,Food and drink,Person/Thing,Noun,1
745,shelf,The house,Person/Thing,Noun,0.887797
748,sow seeds,Agriculture and vegetation,Action/Process,Verb,0.939063
749,enter,Motion,Action/Process,Verb,1
752,store,Possession,Person/Thing,Noun,0.959658
753,pupil,Cognition,Person/Thing,Noun,0.966439
754,hurry,Time,Action/Process,Verb,0.951122
755,deny,Speech and language,Action/Process,Verb,0.90334
757,button,Clothing and grooming,Person/Thing,Noun,0.983943
758,heron,Animals,Person/Thing,Noun,0.774625
759,silver,Basic actions and technology,Person/Thing,Noun,0.952326
760,knot,Basic actions and technology,Person/Thing,Noun,1
761,cover,Spatial relations,Action/Process,Verb,1
762,outside,Spatial relations,Other,Function word,1
763,skin,The body,Person/Thing,Noun,1
765,move,Motion,Action/Process,Verb,0.974618
767,corpse,The body,Person/Thing,Noun,1
768,lunch,Food and drink,Person/Thing,Noun,0.865162
769,roof,The house,Person/Thing,Noun,1
770,earring,Clothing and grooming,Person/Thing,Noun,1
772,belt,Clothing and grooming,Person/Thing,Noun,1
773,have,Possession,Action/Process,Verb,0.798645
777,flute,Speech and language,Person/Thing,Noun,0.803498
778,smoke,The physical world,Person/Thing,Noun,1
779,part,Quantity,Person/Thing,Noun,0.953503
781,fear,Emotions and values,Person/Thing,Noun,0.975346
782,defeat,Warfare and hunting,Person/Thing,Noun,0.842512
783,victory,Warfare and hunting,Person/Thing,Noun,0.938993
784,snow,The physical world,Person/Thing,Noun,0.750411
786,sailcloth,Motion,Person/Thing,Noun,0.572839
787,sail,Motion,Action/Process,Verb,0.490838
788,soap,Clothing and grooming,Person/Thing,Noun,1
789,people,Social and political relations,Person/Thing,Noun,0.869872
790,ready,Time,Property,Adjective,0.958511
791,stranger,Social and political relations,Person/Thing,Noun,0.936804
792,boil,Food and drink,Action/Process,Verb,1
793,boil,The body,Person/Thing,Noun,0.976656
794,pen,Speech and language,Person/Thing,Noun,0.946607
796,nipple,The body,Person/Thing,Noun,1
797,testicles,The body,Person/Thing,Noun,1
798,jaw,The body,Person/Thing,Noun,1
799,wrist,The body,Person/Thing,Noun,0.976163
801,rib,The body,Person/Thing,Noun,1
803,ankle,The body,Person/Thing,Noun,1
804,womb,The body,Person/Thing,Noun,0.974618
805,spine,The body,Person/Thing,Noun,1
806,blanket,The house,Person/Thing,Noun,0.98504
809,trousers,Clothing and grooming,Person/Thing,Noun,1
811,soul,Religion and belief,Person/Thing,Noun,1
812,slave,Social and political relations,Person/Thing,Noun,0.749611
816,half,Quantity,Person/Thing,Noun,0.975883
817,they,Kinship,Other,Function word,0.975883
819,stomach,The body,Person/Thing,Noun,1
820,lamb,Animals,Person/Thing,Noun,0.760012
827,roll,Motion,Action/Process,Verb,1
829,rafter,The house,Person/Thing,Noun,0.952671
832,bean,Food and drink,Person/Thing,Noun,0.841123
834,buttocks,The body,Person/Thing,Noun,1
837,blue,Sense perception,Property,Adjective,1
838,remains,Spatial relations,Person/Thing,Noun,0.925509
843,spider,Animals,Person/Thing,Noun,1
845,murder,Law,Person/Thing,Noun,0.949082
850,square,Spatial relations,Person/Thing,Noun,0.832601
851,stable,Animals,Person/Thing,Noun,0.900048
852,priest,Religion and belief,Person/Thing,Noun,0.797104
853,altar,Religion and belief,Person/Thing,Noun,0.580679
854,kettle,Food and drink,Person/Thing,Noun,0.881094
855,seize,Possession,Action/Process,Verb,1
858,storm,The physical world,Person/Thing,Noun,0.953399
859,stove,The house,Person/Thing,Noun,0.772466
860,cause,Cognition,Person/Thing,Noun,0.811274
861,judge,Law,Person/Thing,Noun,0.754225
862,sugar,Food and drink,Person/Thing,Noun,1
863,edge,Spatial relations,Person/Thing,Noun,1
864,pumpkin,Agriculture and vegetation,Person/Thing,Noun,0.841123
867,glove,Clothing and grooming,Person/Thing,Noun,0.760955
873,tax,Possession,Person/Thing,Noun,0.769058
875,shoemaker,Clothing and grooming,Person/Thing,Noun,0.649898
876,arch,The house,Person/Thing,Noun,0.748642
877,mason,The house,Person/Thing,Noun,0.577556
878,hell,Religion and belief,Person/Thing,Noun,0.873908
879,cough,The body,Action/Process,Verb,1
881,tailor,Clothing and grooming,Person/Thing,Noun,0.77051
882,parrot,Animals,Person/Thing,Noun,0.855315
884,share,Possession,Action/Process,Verb,1
887,bitter,Sense perception,Property,Adjective,1
889,flame,The physical world,Person/Thing,Noun,0.972422
890,mule,Animals,Person/Thing,Noun,0.736456
891,tide,The physical world,Person/Thing,Noun,0.437705
892,time,Time,Person/Thing,Noun,0.976504
897,swallow,Food and drink,Action/Process,Verb,1
901,adobe,The house,Person/Thing,Noun,0.499679
902,adultery,Law,Person/Thing,Noun,0.805302
906,tree,Agriculture and vegetation,Person/Thing,Noun,1
908,drum,Speech and language,Person/Thing,Noun,0.863095
911,temple,Religion and belief,Person/Thing,Noun,0.649034
913,crow,Animals,Person/Thing,Noun,0.964583
914,sculptor,Basic actions and technology,Person/Thing,Noun,0.528047
917,ornament,Clothing and grooming,Person/Thing,Noun,0.926803
920,grape,Food and drink,Person/Thing,Noun,0.753779
921,valley,The physical world,Person/Thing,Noun,0.900058
