concepticon_id,concepticon_gloss,semantic_field,ontological_category,semantic_category,lex_wold,lex_ids,mand1415,kore1280,indo1316,stan1306,stan1293,stan1295,dani1285,norw1258,finn1318,lith1251,poli1260,russ1263,ukra1253,mace1250,mode1248,roma1327,ital1282,stan1290,stan1289,stan1288,port1283,dutc1256,swed1254
858,storm,The physical world,Person/Thing,Noun,0.953399,0.884158,14.117592,20.678179,35.800893,29.942202,58.760466,39.371278,34.656821,36.333242,23.240977,31.329764,56.151289,21.682502,10.727782,21.650715,24.141716,42.218712,28.40942,29.69508,24.983062,41.859062,25.519123,27.667532,51.610693
861,judge,Law,Person/Thing,Noun,0.754225,0.646541,27.800149,3.97021,52.258384,74.288671,100.446972,30.608129,34.566745,29.989343,30.087643,8.304275,18.62868,53.560394,89.149589,118.855731,36.575218,35.803123,76.803259,103.941023,66.30382,91.039062,113.733534,57.591486,30.232539
862,sugar,Food and drink,Person/Thing,Noun,1,0.913342,26.045975,9.594675,56.782245,68.687012,96.033787,41.027471,63.818993,59.707289,84.672532,394.64178,103.8554,58.081426,58.744645,42.743422,34.969224,32.284897,202.759008,97.395245,58.543414,31.196433,55.88675,44.052953,34.859155
892,time,Time,Person/Thing,Noun,0.976504,0.717737,1029.587849,330.354591,2251.465396,2553.222931,2764.592364,1222.354492,2260.529982,1235.669487,2556.256198,1363.033446,1841.362366,1726.780635,1720.575587,1914.749081,1558.539452,1129.46552,1651.439777,2202.547221,1261.40635,1648.750171,3071.359914,1298.834564,1454.193107
906,tree,Agriculture and vegetation,Person/Thing,Noun,1,0.975256,50.239542,33.19537,113.707485,134.239762,135.853733,80.797074,44.835432,59.435892,30.338897,61.527126,56.355327,106.77479,184.208063,151.666608,62.374734,94.854132,90.379089,64.798259,98.843066,79.837806,73.114415,121.720269,39.924501
908,drum,Speech and language,Person/Thing,Noun,0.863095,0.858272,11.99855,6.313737,17.029474,5.601659,29.922837,42.494984,10.133573,11.093343,4.271315,3.397203,2.672899,12.502039,18.587173,19.530284,5.802301,10.830617,40.807347,37.724788,6.398931,36.81355,45.325779,14.403143,6.082404
911,temple,Religion and belief,Person/Thing,Noun,0.649034,0.815817,84.495051,61.041985,74.253704,53.482508,193.109375,93.690224,100.592605,105.742966,215.32451,110.220373,193.224094,189.168298,473.456599,426.541411,136.923939,325.769331,145.940168,92.778575,150.238738,163.599899,177.537789,127.097724,94.426829
923,love,Emotions and values,Action/Process,Verb,1,0.981971,730.957273,103.721747,1230.424961,1534.18776,2603.952451,765.916012,638.482677,463.545681,165.953137,542.986323,778.711463,1605.427822,1070.770317,702.755433,341.895397,765.156667,659.685496,1306.534049,224.643333,985.303831,2067.551865,245.718049,646.908532
926,rice,Agriculture and vegetation,Person/Thing,Noun,0.937725,0.846112,18.032908,2.315956,220.785174,422.591838,47.966251,21.069294,26.167138,22.186686,22.487215,51.901717,25.096688,30.978298,7.285713,9.932545,14.169011,28.237788,75.246032,36.751989,32.60732,26.579625,46.434746,23.007071,20.680173
933,wall,The house,Person/Thing,Noun,0.940093,0.919659,222.990594,0.578989,91.725164,96.295189,134.33444,96.122103,54.946487,40.777364,36.117734,118.335914,88.715772,151.200853,150.819993,119.190536,80.765956,96.164844,105.092893,98.071258,128.387068,95.238159,97.073248,90.256887,46.286097
937,bird,Animals,Person/Thing,Noun,1,0.974006,95.848065,5.762319,83.44442,71.087723,90.535394,61.174329,38.507579,28.394887,72.863603,23.591689,47.255227,90.674379,74.40606,48.993113,52.298417,33.36566,22.499941,51.393428,46.902805,64.008749,50.780347,78.679543,32.127058
946,blood,The body,Person/Thing,Noun,1,1,77.492389,5.403898,235.513719,252.408097,95.353723,56.625038,36.931245,36.061846,44.346296,29.819895,121.504697,111.780219,162.293556,93.745365,102.343262,100.326928,101.499291,93.949231,77.059471,120.476711,107.917908,44.137305,47.323097
948,water,The physical world,Person/Thing,Noun,1,0.999149,163.685481,53.018851,641.595165,851.652259,291.921298,201.594361,184.183325,168.028524,236.743896,14.909948,218.259571,397.804716,320.456629,305.788453,233.05045,513.95993,394.717245,287.88234,349.830935,296.146265,306.190791,238.737902,143.365253
953,rape,Law,Person/Thing,Noun,0.911225,0.647105,29.58239,1.985105,11.452646,30.008889,24.771711,10.587058,16.078603,28.360962,13.818959,1.698602,12.670767,11.510179,2.065241,12.945789,6.29446,8.761073,12.917003,22.605194,5.10553,3.077872,5.441673,7.992374,41.200809
960,wind,The physical world,Person/Thing,Noun,1,1,62.897662,46.760256,152.576283,139.241243,73.389087,68.197427,53.752977,38.809738,81.469046,236.860561,57.803998,130.740875,125.979728,100.218259,30.280758,37.32079,135.498758,104.204833,119.60555600000001,104.53773,105.545236,97.869676,50.932655
962,woman,Kinship,Person/Thing,Noun,1,1,693.151316,126.743453,689.381688,527.22283,480.111058,772.226318,454.794771,243.341128,685.985697,313.108902,321.462049,552.627008,436.11015,641.597742,368.782844,405.768732,552.596158,526.03655,520.559868,528.283782,588.990127,464.359031,411.190451
970,coconut,Agriculture and vegetation,Person/Thing,Noun,0.687253,0.56375,2.062909,1.075265,40.012763,34.743624,22.254025,1.299797,3.850758,5.122614,0.376881,11.512744,3.223802,6.089554,3.728908,1.897228,3.730051,19.660675,19.086019,23.330671,8.713438,14.05928,14.867887,4.175435,3.111
974,tobacco,Agriculture and vegetation,Person/Thing,Noun,0.986424,0.911763,2.217276,38.323559,14.819542,3.200948,7.770098,4.004214,4.97671,4.715519,22.92691,3.20847,8.018698,10.05699,11.129357,24.217553,6.683007,10.853612,6.009301,12.349592,14.295485,23.798547,9.348845,2.593831,4.048289
978,wave,The physical world,Person/Thing,Noun,0.959583,0.799177,69.423189,5.762319,75.189676,53.482508,58.63024,41.027471,36.706055,13.841235,35.929294,67.755332,48.418245,70.883329,78.364439,51.225146,45.978054,67.628122,96.228674,72.531181,54.254769,149.727489,70.096995,36.735397,22.953597
