concepticon_id,concepticon_gloss,semantic_field,ontological_category,semantic_category,lex_ids
72,claw,Animals,Person/Thing,Noun,0.889973
1297,leg,The body,Person/Thing,Noun,0.982157
471,upper leg,The body,Person/Thing,Noun,0.981662
1371,knee,The body,Person/Thing,Noun,0.999149
1301,foot,The body,Person/Thing,Noun,1
803,ankle,The body,Person/Thing,Noun,0.929423
980,heel,The body,Person/Thing,Noun,0.934183
318,footprint,The body,Person/Thing,Noun,0.904076
1389,toe,The body,Person/Thing,Noun,0.989343
1257,wing,The body,Person/Thing,Noun,0.989965
1201,feather,The body,Person/Thing,Noun,0.98592900000000006
1592,chest,The body,Person/Thing,Noun,0.999235
1402,breast,The body,Person/Thing,Noun,0.985057
796,nipple,The body,Person/Thing,Noun,0.903459
154,udder,The body,Person/Thing,Noun,0.7945
1838,navel,The body,Person/Thing,Noun,0.988985
1223,heart,The body,Person/Thing,Noun,1
688,lung,The body,Person/Thing,Noun,0.966029
1224,liver,The body,Person/Thing,Noun,0.987133
489,kidney,The body,Person/Thing,Noun,0.909628
1744,spleen,The body,Person/Thing,Noun,0.723415
819,stomach,The body,Person/Thing,Noun,0.992644
1991,intestines,The body,Person/Thing,Noun,0.988167
1681,waist,The body,Person/Thing,Noun,0.891879
1745,hip,The body,Person/Thing,Noun,0.915694
834,buttocks,The body,Person/Thing,Noun,0.967423
804,womb,The body,Person/Thing,Noun,0.904466
797,testicles,The body,Person/Thing,Noun,0.940534
1222,penis,The body,Person/Thing,Noun,0.954823
1028,yawn,The body,Action/Process,Verb,0.972365
162,hiccough,The body,Action/Process,Verb,0.895789
879,cough,The body,Action/Process,Verb,1
1621,sneeze,The body,Action/Process,Verb,0.997598
126,sweat,The body,Action/Process,Verb,0.992179
1440,spit,The body,Action/Process,Verb,0.997928
1278,vomit,The body,Action/Process,Verb,0.98759
1403,bite,The body,Action/Process,Verb,0.995953
319,lick,The body,Action/Process,Verb,0.994828
268,dribble,The body,Action/Process,Verb,0.814665
1585,sleep,The body,Action/Process,Verb,1
1983,snore,The body,Action/Process,Verb,0.933106
1920,dream,The body,Action/Process,Verb,0.981384
1159,fart,The body,Action/Process,Verb,0.851152
592,piss,The body,Action/Process,Verb,1
676,shit,The body,Action/Process,Verb,0.996179
52,shiver,The body,Action/Process,Verb,0.970106
138,bathe,The body,Action/Process,Verb,0.98497
