concepticon_id,concepticon_gloss,semantic_field,ontological_category,semantic_category,lex_wold,lex_ids,wl_mean,wl_cvar,en,do_mean,do_cvar,ins,cd,aoa_self,conc,sens
270,jug,Food and drink,Person/Thing,Noun,0.861458,0.874869,6.801132,1.120737,18.159169,109.87899,0.67535,7.2e-5,364.876891,5.83,4.96,5.18484568
273,dough,Food and drink,Person/Thing,Noun,0.898859,0.70629,52.374499,1.058091,36.419624,97.43265,0.39178,6.6e-5,511.420943,6.63,4.79,6.131387306
275,peel,Food and drink,Action/Process,Verb,1,0.969058,4.211535,1.323341,21.05306,131.01099,0.81952,5e-5,220.706022,6.05,4.61,5.146180173
277,spindle,Clothing and grooming,Person/Thing,Noun,0.835049,0.773022,0.489586,0.696459,0.998393,103.60538,0.85649,7e-6,17.205577,10.72,4.92,4.6442828
281,post,The house,Person/Thing,Noun,1,0.936827,136.539999,1.021026,587.054816,137.9863,0.83301,1.63e-4,8471.966775,8.11,4.3,4.400732723
284,hoe,Agriculture and vegetation,Person/Thing,Noun,0.903592,0.764109,3.641429,2.744763,33.728305,164.868,1.43261,2.6e-5,654.405221,8.72,4.74,5.37791961
288,forge,Basic actions and technology,Action/Process,Verb,0.645515,0.52992,3.424448,0.733637,6.236336,89.50124,0.39115,2.5e-5,62.592702,9.8,4.04,4.311735181
296,crouch,Motion,Action/Process,Verb,1,0.881505,3.667328,0.822347,8.00161,94.63471,0.48538,3.6e-5,137.941264,8.21,4.32,5.332108715
300,rattle,Speech and language,Person/Thing,Noun,0.730617,0.703683,1.494581,1.33383,5.889069,89.91303,0.39782,3.2e-5,54.879858,4.5,4.07,5.386789543
302,clan,Social and political relations,Person/Thing,Noun,0.924005,0.76026,7.23204,0.968545,5.512863,669.18321,3.2311,1.7e-5,100.860279,11.05,3.46,3.789176437
307,hawk,Animals,Person/Thing,Noun,0.927325,0.879024,2.795223,1.445387,18.969458,112.67876,1.05199,2.7e-5,357.460694,6.74391,4.93,4.951050261
