concepticon_id,concepticon_gloss,semantic_field,ontological_category,semantic_category,lex_wold,lex_ids,wl_mean,wl_cvar,en,do_mean,do_cvar,ins,cd,aoa_self,conc,sens,tax,freq_subtitleus,cd_subtitleus,freq_german,freq_spanish,freq_bbc,freq_cbeebies,freq_cbbc,freq_bnc,cd_bbc,cd_cbeebies,cd_cbbc,known_percentage,prevalence,valence_warriner,arousal_warriner,dominance_warriner,perceptual_max,perceptual_aggregated,action_max,action_aggregated,sensor_max,valence_mohammad,arousal_mohammad,dominance_mohammad
183,bake,Food and drink,Action/Process,Verb,0.913193,0.873001,47.51079,1.394681,112.934113,150.31505,1.13808,1e-4,743.102937,5.5,4.21,6.187315052,2,6.352854,255.337882,4.763836,1.634588,16.613169,19.662217,43.047163,5.299916,250.016377,128.066378,238.353196,0.992288,2.237251,7.2,5,6.83,4.294118,5.617346,3.333333,3.90648,4.294118,0.867,0.418,0.519
185,fireplace,The house,Person/Thing,Noun,0.947643,0.748127,6.771202,0.411286,7.075565,112.5833,0.81841,7.5e-5,136.754672,7.37,4.68,4.931168776,9,5.097969,209.112921,5.629988,0.384609,16.370243,2.222685,2.791454,7.723337,289.756971,16.233766,54.171181,0.989691,2.164678,5.95,5.2,5.56,4.277778,4.672682,2.4,2.61516,4.277778,0.667,0.38,0.417
192,corner,Spatial relations,Person/Thing,Noun,0.976504,0.91131,39.033411,0.798368,81.173655,135.61801,0.66021,1.15e-4,1595.965589,5.21,4.61,4.542383472,7,52.5483,1988.773938,47.874585,37.283028,90.918803,68.048368,62.734262,79.035129,2157.783261,409.451659,1097.869267,0.994898,2.324438,4.83,3.38,4.88,3.972973,4.244095,2.210526,2.585223,3.972973,0.4,0.296,0.366
194,family,Kinship,Person/Thing,Noun,0.949236,0.868091,265.232502,0.473929,526.44226,1010.71718,1.5211,0.001126,9719.964402,3.38,4.23,5.783979839,5,354.269661,5878.274268,318.389612,428.550502,481.717455,131.138437,407.846161,363.397221,5125.444898,606.060606,2952.329361,0.995134,2.33325,7.25,4.35,5.98,4.235294,5.200281,3.210526,3.753187,4.235294,0.968,0.383,0.643
195,mat,Basic actions and technology,Person/Thing,Noun,0.823681,0.797745,24.833057,2.292242,13.890679,186.76523,1.26181,6.8e-5,264.609908,4.62,4.83,5.709829743,7,3.509756,154.083205,2.519715,0.168266,5.706284,23.59466,8.374363,6.142845,157.433893,135.281385,120.982304,0.965986,1.766292,5,2.86,5.3,4.722222,5.393671,2.8,3.08083,4.722222,0.459,0.221,0.304
212,field,Agriculture and vegetation,Person/Thing,Noun,1,0.942861,81.70152,0.876019,114.554692,651.42906,1.3636,5.53e-4,2190.447938,6.1,4.26,5.163551851,7,70.214725,2113.141096,25.866449,110.647182,7.044856,53.002497,5.729827,7.723337,212.677686,214.646465,92.091008,0.994832,2.322007,5.73,3.84,5.74,4.333333,4.556941,2.736842,3.504589,4.333333,0.64,0.38,0.336
213,fin,Animals,Person/Thing,Noun,0.868308,0.781036,22.453596,2.625202,5.295821,92.12616,0.45235,3.3e-5,95.817265,7.3,4.76,4.147179467,7,3.431326,75.941008,0.70867,1.201903,3.871944,11.455378,11.312736,3.276886,98.696421,52.308802,151.679307,0.932203,1.460192,5.27,4.45,5.45,3.75,4.008451,1.5,1.905731,3.75,0.333,0.34,0.377
227,fish,Animals,Person/Thing,Noun,1,1,68.812629,0.69583,75.805486,1226.27478,1.7094,0.00117,1274.695936,4.05,5,6.783971456,10,83.508661,1880.915694,42.323338,27.763957,155.413198,329.299387,300.007875,114.796391,1537.43695,824.314574,1706.392199,1,2.575829,6.42,3.33,6.08,4.470588,6.001176,3.421053,4.580236,4.470588,0.51,0.28,0.25
228,carve,Basic actions and technology,Action/Process,Verb,0.950288,0.725765,6.592934,0.93983,11.73473,98.61779,0.83796,1.7e-5,52.803322,6.35,3.69,4.91346759,3,3.117604,149.680828,0.74804,0.86537,3.733129,0.85487899999999994,2.717995,2.64469,129.702819,9.018759,48.754063,0.979381,1.952957,5.09,4.13,6.32,3.529412,3.945095,3.578947,3.853472,3.578947,0.469,0.443,0.598
230,sweep,Basic actions and technology,Action/Process,Verb,1,0.988985,8.019691,0.931494,23.18007,119.4483,0.77731,7.5e-5,277.662415,4.2,3.72,5.165505658,2,9.529281,420.427031,1.299228,2.572072,8.100841,11.113427,9.255875,11.126663,289.538616,75.757576,195.016251,0.994475,2.309078,5.27,3.89,5.76,3.444444,3.824741,3.952381,4.342318,3.952381,0.448,0.385,0.383
