concepticon_id,concepticon_gloss,semantic_field,ontological_category,semantic_category,lex_wold_strict
968,acorn,Agriculture and vegetation,Person/Thing,Noun,0.237301
970,coconut,Agriculture and vegetation,Person/Thing,Noun,0.360942
977,arrow,Warfare and hunting,Person/Thing,Noun,0.844387
978,wave,The physical world,Person/Thing,Noun,0.866162
979,farmer,Agriculture and vegetation,Person/Thing,Noun,0.49561
981,elbow,The body,Person/Thing,Noun,1
983,convict,Law,Action/Process,Verb,0.268878
988,acquit,Law,Action/Process,Verb,0.19237
996,deaf,The body,Property,Adjective,0.931968
1001,blacksmith,Basic actions and technology,Person/Thing,Noun,0.642788
1002,statue,Basic actions and technology,Person/Thing,Noun,0.197906
1005,twins,Kinship,Person/Thing,Noun,1
1006,brick,The house,Person/Thing,Noun,0.644976
1007,cow,Animals,Person/Thing,Noun,0.760078
1008,bull,Animals,Person/Thing,Noun,0.640734
1011,bridge,Motion,Person/Thing,Noun,1
1012,latch,The house,Person/Thing,Noun,0.363245
1014,or,Cognition,Other,Function word,0.841878
1019,right,Spatial relations,Property,Adjective,1
1021,towel,Clothing and grooming,Person/Thing,Noun,0.927176
1022,booty,Warfare and hunting,Person/Thing,Noun,0.270393
1026,low tide,The physical world,Person/Thing,Noun,0.195049
1028,yawn,The body,Action/Process,Verb,1
1029,jewel,Clothing and grooming,Person/Thing,Noun,0.337334
1032,citizen,Social and political relations,Person/Thing,Noun,0.246006
1034,defendant,Law,Person/Thing,Noun,0.421172
1038,teacher,Cognition,Person/Thing,Noun,1
1042,carpenter,Basic actions and technology,Person/Thing,Noun,0.646712
1043,braid,Clothing and grooming,Person/Thing,Noun,0.837235
1044,pillow,The house,Person/Thing,Noun,0.76903
1045,poet,Speech and language,Person/Thing,Noun,0.198625
1048,line,Spatial relations,Person/Thing,Noun,0.752588
1058,stepdaughter,Kinship,Person/Thing,Noun,0.590476
1059,stepson,Kinship,Person/Thing,Noun,0.551429
1061,armour,Warfare and hunting,Person/Thing,Noun,0.23507
1062,law,Law,Person/Thing,Noun,0.627963
1063,nephew,Kinship,Person/Thing,Noun,0.432564
1064,shield,Warfare and hunting,Person/Thing,Noun,0.320488
1067,judgment,Law,Person/Thing,Noun,0.403839
1068,court,Law,Person/Thing,Noun,0.402154
1069,glue,Basic actions and technology,Person/Thing,Noun,0.761702
