concepticon_id,name,description,final_synset,synonym,wordnet_id,count,definition,same_synset,annotation,comment
1383,grandfather,The father of one of someone's parents.,n10142391,grandfather,n10142391,1036,the father of your father or mother,same,1,NA
1383,grandfather,The father of one of someone's parents.,n10142391,grandad,n10142391,4,the father of your father or mother,same,1,NA
1383,grandfather,The father of one of someone's parents.,n10142391,grandpa,n10142391,50,the father of your father or mother,same,1,NA
1383,grandfather,The father of one of someone's parents.,n10142391,granddaddy,n10142391,41,the father of your father or mother,same,1,NA
1383,grandfather,The father of one of someone's parents.,n10142391,gramps,NA,NA,NA,different,0,NA
1496,grandmother,The mother of one of someone's parents.,n10142747,gran,n10142747,3,the mother of your father or mother,same,1,NA
1496,grandmother,The mother of one of someone's parents.,n10142747,grandmother,n10142747,1260,the mother of your father or mother,same,1,NA
1496,grandmother,The mother of one of someone's parents.,n10142747,granny,n10142747,33,the mother of your father or mother,same,1,NA
1496,grandmother,The mother of one of someone's parents.,n10142747,nanna,NA,NA,NA,different,0,NA
1496,grandmother,The mother of one of someone's parents.,n10142747,grandma,n10142747,130,the mother of your father or mother,same,1,NA
1496,grandmother,The mother of one of someone's parents.,n10142747,grannie,n10142747,3,the mother of your father or mother,same,1,NA
1496,grandmother,The mother of one of someone's parents.,n10142747,nan,n10345015,1,your grandmother,different,0,NA
1618,grandson,A son of someone's child.,n10143299,grandson,n10143299,251,a male grandchild,same,1,NA
1619,granddaughter,A daughter of someone's child.,n10141732,granddaughter,n10141732,212,a female grandchild,same,1,NA
1327,uncle,The brother of someone’s father or mother.,n10736091,uncle,n10736091,972,the brother of your father or mother; the husband of your aunt,same,1,NA
1272,aunt,A woman with one or more siblings who have one or more children; a sister of someone's father or mother.,n09823502,aunt,n09823502,798,the sister of your father or mother; the wife of your uncle,same,1,NA
1272,aunt,A woman with one or more siblings who have one or more children; a sister of someone's father or mother.,n09823502,aunty,NA,NA,NA,different,0,NA
1272,aunt,A woman with one or more siblings who have one or more children; a sister of someone's father or mother.,n09823502,auntie,n09823502,15,the sister of your father or mother; the wife of your uncle,same,1,NA
