concepticon_id	name	description	final_synset	synonym	wordnet_id	count	definition	same_synset	taxonomic_depth
73	beak	External anatomical structure of birds which is used for taking food and for eating.	n01758308	pecker	n01758308	11.0	horny projecting mouth of a bird	same	9.0
80	doorpost	The frame that supports a door.	n03222857	doorjamb	n03222857	9.0	a jamb for a door	same	11.0
80	doorpost	The frame that supports a door.	n03222857	doorpost	n03222857	5.0	a jamb for a door	same	11.0
81	fathom	A linear unit of measurement, equal to 6 feet, for water depth.	n13660178	fathom	v00728954	75.0	come to understand	different	6.0
81	fathom	A linear unit of measurement, equal to 6 feet, for water depth.	n13660178	fthm				different	6.0
82	anger	Belligerence aroused by a real or supposed wrong (personified as one of the deadly sins).	n14036539	anger	n07516354	1081.0	a strong emotion; a feeling that is oriented toward some real or supposed grievance	different	8.0
82	anger	Belligerence aroused by a real or supposed wrong (personified as one of the deadly sins).	n14036539	angriness				different	8.0
83	forbid	To tell not to do something.	v00795863	disallow	v00795863	12.0	command against	same	9.0
83	forbid	To tell not to do something.	v00795863	forbid	v00795863	426.0	command against	same	9.0
83	forbid	To tell not to do something.	v00795863	interdict	v00795863	6.0	command against	same	9.0
83	forbid	To tell not to do something.	v00795863	nix	v00795863	21.0	command against	same	9.0
83	forbid	To tell not to do something.	v00795863	prohibit	v00795863	261.0	command against	same	9.0
83	forbid	To tell not to do something.	v00795863	proscribe	v00795863	8.0	command against	same	9.0
83	forbid	To tell not to do something.	v00795863	veto	n00209546	53.0	a vote that blocks a decision	different	9.0
88	beehive	A structure that provides a natural habitation for bees; as in a hollow tree.	n02822865	beehive	n02823030	7.0	any workplace where people are very busy	different	8.0
88	beehive	A structure that provides a natural habitation for bees; as in a hollow tree.	n02822865	hive	n02822865	53.0	a man-made receptacle that houses a swarm of bees	same	8.0
90	innocent	Not guilty.	a01319874	clean-handed				different	0.0
90	innocent	Not guilty.	a01319874	guiltless	a01319874	1.0	free from evil or guilt	same	0.0
90	innocent	Not guilty.	a01319874	innocent	s02272670	317.0	lacking in sophistication or worldliness	different	0.0
93	draw milk	To draw milk from (a mammal, especially a cow).	v00194170	milk	n07844042	1214.0	a white nutritious liquid secreted by mammals and used as food by human beings	different	2.0
95	sandfly	A tiny flying insect from one of several species in the Nematocera suborder, including the families Mycetophilidae, Anisopodidae and Sciaridae.	n2204249	sandfly	n02204249	1.0	any of various small dipterous flies; bloodsucking females can transmit sandfly fever and leishmaniasis	different	12.0
98	all	The totality of.	a02269286	all	r00008007	13352.0	to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly')	different	0.0
100	faithful	Steadfast in affection.	a00958880	faithful	a00958880	221.0	steadfast in affection or allegiance	same	0.0
101	boast	To show off.	v00883226	blow	v02769241	608.0	be blowing or storming	different	6.0
101	boast	To show off.	v00883226	bluster	n06889591	16.0	a swaggering show of courage	different	6.0
101	boast	To show off.	v00883226	boast	v02631659	244.0	wear or display in an ostentatious or proud manner	different	6.0
101	boast	To show off.	v00883226	brag	v00883226	160.0	show off	same	6.0
101	boast	To show off.	v00883226	gas	n14877585	781.0	a fluid in the gaseous state having neither independent shape nor volume and being able to expand indefinitely	different	6.0
101	boast	To show off.	v00883226	gasconade				different	6.0
101	boast	To show off.	v00883226	swash	n07344528	3.0	the movement or sound of water	different	6.0
101	boast	To show off.	v00883226	tout	v00971460	113.0	advertize in strongly positive terms	different	6.0
