concepticon_id,glottocode,lex,concepticon_gloss,semantic_field,language,area,family
2,west2376,1,dust,The physical world,West Slovakian Romani,Eurasia,Indo-European
2,lowe1385,1,dust,The physical world,Lower Sorbian,Eurasia,Indo-European
2,oldh1241,1,dust,The physical world,Old High German (ca. 750-1050),Eurasia,Indo-European
2,dutc1256,1,dust,The physical world,Dutch,Eurasia,Indo-European
2,stan1293,1,dust,The physical world,English,Eurasia,Indo-European
2,kild1236,1,dust,The physical world,Kildin Saami,Eurasia,Uralic
2,bezh1248,1,dust,The physical world,Bezhta,Eurasia,Nakh-Daghestanian
2,arch1244,1,dust,The physical world,Archi,Eurasia,Nakh-Daghestanian
2,mana1288,1,dust,The physical world,Manange,Eurasia,Sino-Tibetan
2,yaku1245,1,dust,The physical world,Sakha,Eurasia,Turkic
2,oroq1238,1,dust,The physical world,Oroqen,Eurasia,Tungusic
2,nucl1643,1,dust,The physical world,Japanese,Eurasia,Japonic
2,mand1415,1,dust,The physical world,Mandarin Chinese,Eurasia,Sino-Tibetan
2,thai1261,1,dust,The physical world,Thai,Eurasia,Tai-Kadai
2,viet1252,1,dust,The physical world,Vietnamese,Eurasia,Austroasiatic
2,hmon1333,1,dust,The physical world,Hmong Daw,Eurasia,Hmong-Mien
2,indo1316,1,dust,The physical world,Standard Indonesian,Papunesia,Austronesian
2,plat1254,1,dust,The physical world,Plateau Malagasy,Africa,Austronesian
2,taki1248,1,dust,The physical world,Takia,Papunesia,Austronesian
2,hawa1245,1,dust,The physical world,Hawaiian,Papunesia,Austronesian
2,yaqu1251,1,dust,The physical world,Yaqui,North America,Uto-Aztecan
2,tzot1259,1,dust,The physical world,Tzotzil,North America,Mayan
2,kekc1242,1,dust,The physical world,Q'eqchi',North America,Mayan
2,mezq1235,1,dust,The physical world,Mezquital Otomi,North America,Otomanguean
2,sara1340,1,dust,The physical world,Saramaccan,South America,Indo-European
2,imba1240,1,dust,The physical world,Imbabura Highland Quichua,South America,Quechuan
2,gali1262,1,dust,The physical world,Galibi Carib,South America,Cariban
2,hupd1244,1,dust,The physical world,Hup,South America,Naduhup
2,wich1264,1,dust,The physical world,Güisnay,South America,Mataguayan
2,mapu1245,1,dust,The physical world,Mapudungun,South America,Araucanian
2,kett1243,1,dust,The physical world,Ket,Eurasia,Yeniseian
2,chew1245,1,dust,The physical world,Chewong,Eurasia,Austroasiatic
2,guri1247,1,dust,The physical world,Gurindji,Australia,Pama-Nyungan
640,swah1253,1,mud,The physical world,Swahili,Africa,Atlantic-Congo
640,iraq1241,1,mud,The physical world,Iraqw,Africa,Afro-Asiatic
640,gaww1239,1,mud,The physical world,Ale-Gawwada,Africa,Afro-Asiatic
640,haus1257,1,mud,The physical world,Hausa,Africa,Afro-Asiatic
640,cent2050,1,mud,The physical world,Central Kanuri,Africa,Saharan
640,tari1263,1,mud,The physical world,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,Africa,Afro-Asiatic
640,sese1246,1,mud,The physical world,Seselwa Creole French,Africa,Indo-European
640,roma1327,1,mud,The physical world,Romanian,Eurasia,Indo-European
640,west2376,1,mud,The physical world,West Slovakian Romani,Eurasia,Indo-European
640,lowe1385,1,mud,The physical world,Lower Sorbian,Eurasia,Indo-European
640,dutc1256,1,mud,The physical world,Dutch,Eurasia,Indo-European
640,stan1293,1,mud,The physical world,English,Eurasia,Indo-European
640,kild1236,1,mud,The physical world,Kildin Saami,Eurasia,Uralic
640,bezh1248,1,mud,The physical world,Bezhta,Eurasia,Nakh-Daghestanian
640,arch1244,1,mud,The physical world,Archi,Eurasia,Nakh-Daghestanian
640,mana1288,1,mud,The physical world,Manange,Eurasia,Sino-Tibetan
640,yaku1245,1,mud,The physical world,Sakha,Eurasia,Turkic
640,oroq1238,1,mud,The physical world,Oroqen,Eurasia,Tungusic
640,nucl1643,1,mud,The physical world,Japanese,Eurasia,Japonic
640,mand1415,1,mud,The physical world,Mandarin Chinese,Eurasia,Sino-Tibetan
640,thai1261,1,mud,The physical world,Thai,Eurasia,Tai-Kadai
640,viet1252,1,mud,The physical world,Vietnamese,Eurasia,Austroasiatic
640,hmon1333,1,mud,The physical world,Hmong Daw,Eurasia,Hmong-Mien
640,indo1316,1,mud,The physical world,Standard Indonesian,Papunesia,Austronesian
640,plat1254,1,mud,The physical world,Plateau Malagasy,Africa,Austronesian
640,taki1248,1,mud,The physical world,Takia,Papunesia,Austronesian
640,hawa1245,1,mud,The physical world,Hawaiian,Papunesia,Austronesian
640,yaqu1251,1,mud,The physical world,Yaqui,North America,Uto-Aztecan
640,tzot1259,1,mud,The physical world,Tzotzil,North America,Mayan
640,kekc1242,1,mud,The physical world,Q'eqchi',North America,Mayan
640,mezq1235,1,mud,The physical world,Mezquital Otomi,North America,Otomanguean
640,sara1340,1,mud,The physical world,Saramaccan,South America,Indo-European
640,imba1240,1,mud,The physical world,Imbabura Highland Quichua,South America,Quechuan
640,gali1262,1,mud,The physical world,Galibi Carib,South America,Cariban
640,hupd1244,1,mud,The physical world,Hup,South America,Naduhup
640,wich1264,1,mud,The physical world,Güisnay,South America,Mataguayan
640,mapu1245,1,mud,The physical world,Mapudungun,South America,Araucanian
640,kett1243,1,mud,The physical world,Ket,Eurasia,Yeniseian
640,chew1245,1,mud,The physical world,Chewong,Eurasia,Austroasiatic
640,guri1247,1,mud,The physical world,Gurindji,Australia,Pama-Nyungan
671,swah1253,1,sand,The physical world,Swahili,Africa,Atlantic-Congo
671,iraq1241,1,sand,The physical world,Iraqw,Africa,Afro-Asiatic
671,gaww1239,1,sand,The physical world,Ale-Gawwada,Africa,Afro-Asiatic
671,haus1257,1,sand,The physical world,Hausa,Africa,Afro-Asiatic
671,cent2050,1,sand,The physical world,Central Kanuri,Africa,Saharan
671,tari1263,1,sand,The physical world,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,Africa,Afro-Asiatic
671,sese1246,1,sand,The physical world,Seselwa Creole French,Africa,Indo-European
671,roma1327,1,sand,The physical world,Romanian,Eurasia,Indo-European
671,west2376,1,sand,The physical world,West Slovakian Romani,Eurasia,Indo-European
671,lowe1385,1,sand,The physical world,Lower Sorbian,Eurasia,Indo-European
671,oldh1241,1,sand,The physical world,Old High German (ca. 750-1050),Eurasia,Indo-European
671,dutc1256,1,sand,The physical world,Dutch,Eurasia,Indo-European
671,stan1293,1,sand,The physical world,English,Eurasia,Indo-European
671,kild1236,1,sand,The physical world,Kildin Saami,Eurasia,Uralic
671,bezh1248,1,sand,The physical world,Bezhta,Eurasia,Nakh-Daghestanian
671,arch1244,1,sand,The physical world,Archi,Eurasia,Nakh-Daghestanian
671,mana1288,1,sand,The physical world,Manange,Eurasia,Sino-Tibetan
671,yaku1245,1,sand,The physical world,Sakha,Eurasia,Turkic
671,oroq1238,1,sand,The physical world,Oroqen,Eurasia,Tungusic
671,nucl1643,1,sand,The physical world,Japanese,Eurasia,Japonic
671,mand1415,1,sand,The physical world,Mandarin Chinese,Eurasia,Sino-Tibetan
671,thai1261,1,sand,The physical world,Thai,Eurasia,Tai-Kadai
671,viet1252,1,sand,The physical world,Vietnamese,Eurasia,Austroasiatic
671,hmon1333,1,sand,The physical world,Hmong Daw,Eurasia,Hmong-Mien
671,indo1316,1,sand,The physical world,Standard Indonesian,Papunesia,Austronesian
671,plat1254,1,sand,The physical world,Plateau Malagasy,Africa,Austronesian
671,taki1248,1,sand,The physical world,Takia,Papunesia,Austronesian
671,hawa1245,1,sand,The physical world,Hawaiian,Papunesia,Austronesian
671,yaqu1251,1,sand,The physical world,Yaqui,North America,Uto-Aztecan
