original_word	lemmatized_word
Authoritarian	Authoritarian
Authoritative	Authoritative
Authorization	Authorization
Automobile	Automobile
Autumn	Autumn
Avenger	Avenger
Avert	Avert
Avon	Avon
Awareness	Awareness
Awful	Awful
Axis	Axis
Azerbaijan	Azerbaijan
Aztec	Aztec
Aztecs	Aztecs
BAN	BAN
BAT	BAT
BBL	BBL
BC	BC
BE	BE
BEND	BEND
BES	BES
BI	BI
BIS	BIS
BLT	BLT
BOLD	BOLD
BOP	BOP
BRAG	BRAG
BUY	BUY
Baal	Baal
Baba	Baba
Babel	Babel
Baby	Baby
Babylon	Babylon
Bacchanals	Bacchanals
Bacchus	Bacchus
Bach	Bach
Bachelorette	Bachelorette
Backpack	Backpack
Backwards	Backwards
Baghdad	Baghdad
Baguette	Baguette
Bahamas	Bahamas
Baht	Baht
Bail	Bail
Bailey	Bailey
Baileys	Baileys
Bakelite	Bakelite
Baker	Baker
Bakersfield	Bakersfield
Balboa	Balboa
Baldrick	Baldrick
Balfour	Balfour
Bali	Bali
Balkans	Balkans
Baltic	Baltic
Baltimore	Baltimore
Ban	Ban
Bangkok	Bangkok
Bangladesh	Bangladesh
Bank	Bank
Bankruptcy	Bankruptcy
Banks	Banks
Bannister	Bannister
Bantam	Bantam
Bantu	Bantu
Bar	Bar
Barb	Barb
Barbados	Barbados
Barbecue	Barbecue
Barberry	Barberry
Barbital	Barbital
Barcelona	Barcelona
Barde	Barde
Bari	Bari
Bark	Bark
Barker	Barker
Barn	Barn
Barnum	Barnum
Barrow	Barrow
Barrows	Barrows
Bart	Bart
Bartholdi	Bartholdi
Bartlett	Bartlett
Base	Base
Basel	Basel
Baseness	Baseness
Basilica	Basilica
Basket	Basket
Basso	Basso
Bastille	Bastille
Bataan	Bataan
Bates	Bates
Bathsheba	Bathsheba
Batman	Batman
Baudelaire	Baudelaire
Bavaria	Bavaria
Bavarian	Bavarian
Bay	Bay
Bayard	Bayard
Bayer	Bayer
Bayes	Bayes
Bayesian	Bayesian
Bazar	Bazar
Bbs	Bbs
Be	Be
Beadle	Beadle
Beano	Beano
Bear	Bear
Bearnaise	Bearnaise
Beatles	Beatles
Beatrice	Beatrice
Beautiful	Beautiful
Beautifully	Beautifully
Beauty	Beauty
Beck	Beck
Beckett	Beckett
Becks	Becks
Becquerel	Becquerel
Bedevil	Bedevil
Bedouin	Bedouin
Bedroom	Bedroom
Beecher	Beecher
Beefeater	Beefeater
Beelzebub	Beelzebub
Beer	Beer
Beery	Beery
Beethoven	Beethoven
Begging	Begging
Beginning	Beginning
Behavior	Behavior
Behavioral	Behavioral
Behaviors	Behaviors
Beijing	Beijing
Beirut	Beirut
Bel	Bel
Belarus	Belarus
Belfast	Belfast
Belgian	Belgian
Belgium	Belgium
Belgrade	Belgrade
Believable	Believable
Believe	Believe
Believer	Believer
Belize	Belize
Bell	Bell
Bellboy	Bellboy
Belligerent	Belligerent
Bellini	Bellini
Bellwether	Bellwether
Belong	Belong
Belvedere	Belvedere
Ben	Ben
Benadryl	Benadryl
Benedict	Benedict
Benefice	Benefice
Bengal	Bengal
Benghazi	Benghazi
Benjamin	Benjamin
Benjamins	Benjamins
Bennett	Bennett
Benny	Benny
Bens	Bens
Beowulf	Beowulf
Berber	Berber
Bergen	Bergen
Bergman	Bergman
Bering	Bering
Berkeley	Berkeley
Berlin	Berlin
Bermuda	Bermuda
Bermudas	Bermudas
Bernard	Bernard
Bernstein	Bernstein
Berra	Berra
Berserk	Berserk
Beryl	Beryl
Bess	Bess
Beth	Beth
Bethlehem	Bethlehem
Betoken	Betoken
Bevel	Bevel
Bey	Bey
Bi	Bi
Bible	Bible
Bicycle	Bicycle
Bier	Bier
Biff	Biff
Bifocal	Bifocal
Bighead	Bighead
Bigot	Bigot
Bill	Bill
Billy	Billy
Bird	Bird
Birmingham	Birmingham
Birthday	Birthday
Biscuit	Biscuit
Bisque	Bisque
Bissau	Bissau
Bistro	Bistro
Bitching	Bitching
Bizarre	Bizarre
Bizet	Bizet
Blackboard	Blackboard
Blackpool	Blackpool
Blah	Blah
Blair	Blair
Blake	Blake
Blanc	Blanc
Blanker	Blanker
Bleacher	Bleacher
Blenheim	Blenheim
Blitzkrieg	Blitzkrieg
Blowy	Blowy
Blueberries	Blueberries
Boasted	Boasted
Bob	Bob
Bobbins	Bobbins
Bobby	Bobby
Boccaccio	Boccaccio
Boccie	Boccie
Bock	Bock
Bodhisattva	Bodhisattva
Bodices	Bodices
Bodybuilder	Bodybuilder
Boer	Boer
Bogart	Bogart
Bogie	Bogie
Bohemia	Bohemia
Bohr	Bohr
Boil	Boil
Boise	Boise
Boisterous	Boisterous
Bolas	Bolas
Bolivia	Bolivia
Boll	Boll
Bolshevik	Bolshevik
Boltzmann	Boltzmann
Bombay	Bombay
Bonaparte	Bonaparte
Bond	Bond
Bone	Bone
Bongo	Bongo
Bongos	Bongos
Boniface	Boniface
Bonnie	Bonnie
Booby	Booby
Book	Book
Booker	Booker
Boone	Boone
Bordeaux	Bordeaux
Boredom	Boredom
Borneo	Borneo
Boron	Boron
Borscht	Borscht
Borstal	Borstal
Bos	Bos
Bosch	Bosch
Bose	Bose
Bosnia	Bosnia
Boston	Boston
Bothered	Bothered
Botox	Botox
Botswana	Botswana
Botticelli	Botticelli
Bottle	Bottle
Boundaries	Boundaries
Bountiful	Bountiful
Bourbon	Bourbon
Bourgeois	Bourgeois
Bourne	Bourne
Bourse	Bourse
Bowie	Bowie
Bowles	Bowles
Bowman	Bowman
Boxwoods	Boxwoods
Bozo	Bozo
Bps	Bps
Brad	Brad
Bradburys	Bradburys
Bradford	Bradford
Bradley	Bradley
Brady	Brady
Bragg	Bragg
Brahman	Brahman
Brahms	Brahms
Braid	Braid
Braille	Braille
Braque	Braque
Brasil	Brasil
Brasilia	Brasilia
Braun	Braun
Bray	Bray
Brazil	Brazil
Brazilian	Brazilian
Brazilians	Brazilians
Breakfast	Breakfast
Breathing	Breathing
Brecht	Brecht
Brent	Brent
Brest	Brest
Brethren	Brethren
Brewer	Brewer
Brezhnev	Brezhnev
Brie	Brie
Bright	Bright
Brighton	Brighton
Brigid	Brigid
Brigit	Brigit
Brill	Brill
Brilliant	Brilliant
Brindisi	Brindisi
Brining	Brining
Brisbane	Brisbane
Brisket	Brisket
Bristol	Bristol
Brit	Brit
Britain	Britain
Britannic	Britannic
British	British
Brits	Brits
Brittany	Brittany
Broadway	Broadway
Brobdingnagian	Brobdingnagian
Broccoli	Broccoli
